gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
RPL4	-4.54372702472435	-4.4452018288472	0.834613355492195	-4.47861054243503	-4.27898608203221	0.917144511643822	0.0985251958771576	0.199624460402814	0.971208518757278	0.98136272095935	FALSE	FALSE	None	None
GAPDH	-5.39843706556175	-5.45993435549349	0.802989762402163	-5.43177355316378	-5.1135169172173	0.560091397978082	-0.0614972899317321	0.318256635946476	0.962178063617147	0.835991856564828	FALSE	FALSE	None	None
RPLP0	-4.30669049943845	-4.73258695869392	0.477728372287401	-4.36593471266092	-4.72026077329517	0.834594976175458	-0.425896459255462	-0.35432606063425	0.827336182811653	0.954787693519775	FALSE	FALSE	None	None
EEF2	-2.65317062125941	-2.48558914428501	0.735883510707466	-2.30360393186401	-2.72372831807059	0.73300231968006	0.167581476974397	-0.420124386206571	0.94183353362379	0.918562938876975	FALSE	FALSE	None	None
HSPA8	-4.3640499265748	-3.69388235939224	0.46787129814814	-4.65798568554964	-4.56718624285347	0.967417297543179	0.670167567182557	0.0907994426961691	0.818026951895715	0.993927738404031	FALSE	FALSE	None	None
PKM	-1.84504823937263	-1.90038768637337	0.917365452840497	-3.37927504266426	-2.24096965074106	0.151427313402165	-0.055339447000746	1.13830539192321	0.992983914664391	0.444154940067295	FALSE	FALSE	None	None
HNRNPA2B1	-1.1389068762578	-1.90806228939249	0.106445693561888	-1.52990034235348	-2.34852343597046	0.148479991170565	-0.769155413134691	-0.818623093616986	0.436774959725698	0.43705612535385	FALSE	FALSE	None	None
RPS2	-4.90824733475987	-4.57849669674982	0.966650497873039	-4.8172382449267	-4.57736827846567	0.983276187522586	0.329750638010053	0.239869966461025	0.998118734194016	1	FALSE	FALSE	None	None
NPM1	-1.56118122336686	0.057207323232692	0.0049396225519851	-2.71897857027028	-0.108720878863809	0.0079125623767919	1.61838854659956	2.61025769140647	0.0752928040792745	0.0815643070725178	FALSE	FALSE	None	None
NCL	-2.98720492882623	-2.30606324827567	0.232811909318818	-3.53934471666444	-2.13445087605086	0.0463893078669541	0.681141680550557	1.40489384061358	0.625631541285079	0.234162749482595	FALSE	FALSE	None	None
