gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	time1_residual_logFC	time1_fdr	time1_significant	time1_response
MRM3	-5.41562267909172	-1.405898501744	4.10260732833227e-06	4.00972417734773	0.000560971219688728	TRUE	Suppressor
SUZ12	-1.70648891871955	2.10522302141359	2.44975551439966e-07	3.81171194013314	6.32717410358002e-05	TRUE	Suppressor
FOXRED1	-4.28595617875974	-0.745889080743365	1.31775268398136e-05	3.54006709801638	0.00118597291831815	TRUE	Suppressor
EED	-0.908041072744761	2.57938097054079	1.85406533314015e-05	3.48742204328555	0.00146094063284213	TRUE	Suppressor
EZH2	-0.704416434231542	2.75197702680777	8.63861155077776e-07	3.45639346103931	0.000154465019613715	TRUE	Suppressor
NDUFB10	-6.09767904720075	-2.65456880646829	2.30473583541031e-05	3.44311024073246	0.00170074871409881	TRUE	Suppressor
CARS2	-4.72253400560019	-1.29776237576797	3.38333941265422e-06	3.42477162983222	0.000491535779044671	TRUE	Suppressor
COQ5	-4.16226235036474	-0.779332903982272	0.000416244938362474	3.38292944638246	0.0145497948755424	FALSE	None
RNASEH1	-5.26231894211082	-1.96446983245189	1.0967431010993e-05	3.29784910965893	0.00108484227170439	TRUE	Suppressor
TIMMDC1	-4.00530484416319	-0.757311800056281	0.0027951209516867	3.24799304410691	0.0507598332202792	FALSE	None
DPH5	-2.42344088109969	0.740899890762437	3.34999753412499e-05	3.16434077186212	0.00201980595834204	TRUE	Suppressor
GATB	-5.63162268479037	-2.58184856825352	4.80925687826881e-06	3.04977411653686	0.000588374611238729	TRUE	Suppressor
SLC25A3	-4.39927256706765	-1.36605800527002	7.4597696791842e-06	3.03321456179763	0.000825725458060175	TRUE	Suppressor
ACAD9	-4.37209540159905	-1.36369343159949	0.000347992356288856	3.00840196999955	0.013046906970862	FALSE	None
DR1	-2.91994776907001	0.0144707485803549	1.28934500757877e-08	2.93441851765037	9.9902749003895e-06	TRUE	Suppressor
MBTPS1	-3.3990294230419	-0.478213109733738	1.28934500757877e-08	2.92081631330816	9.9902749003895e-06	TRUE	Suppressor
CNOT3	-3.31685369372555	-0.564715864347504	1.32653456125068e-05	2.75213782937804	0.00118597291831815	TRUE	Suppressor
NDUFA10	-5.66253277949779	-2.94754283349088	2.65476137060469e-05	2.71498994600691	0.00173830783266777	TRUE	Suppressor
GSK3A	0.325635176891004	3.036153247901	2.44975551439966e-07	2.71051807100999	6.32717410358002e-05	TRUE	Suppressor
MRRF	-4.10118705862365	-1.40979459688868	0.00041192794551955	2.69139246173496	0.0145079774145484	FALSE	None
POLG	-4.98632702681964	-2.29787252620071	5.60732994074864e-05	2.68845450061893	0.00295788197814145	TRUE	Suppressor
STARD7	-4.60995931022378	-1.97507226441902	5.72616429410047e-05	2.63488704580476	0.00295788197814145	TRUE	Suppressor
GFM2	-4.17177066116232	-1.56835310383353	5.69356399060645e-05	2.60341755732879	0.00295788197814145	TRUE	Suppressor
MBTPS2	-2.64533690934233	-0.0449630981898476	1.79218956053449e-06	2.60037381115249	0.000287306526445684	TRUE	Suppressor
MTCH2	-4.31751786422358	-1.72174020323589	0.000275369724214639	2.59577766098769	0.0107579314947383	FALSE	None
HEATR3	-2.42660961383653	0.165379163940213	0.000996702371208616	2.59198877777675	0.0254597215590597	FALSE	None
MTF2	-0.374433064257642	2.17532207374323	9.02541505305139e-08	2.54975513800088	4.19591545816359e-05	TRUE	Suppressor
C1QBP	-4.89531489650368	-2.34556724647661	1.79218956053449e-06	2.54974765002706	0.000287306526445684	TRUE	Suppressor
CD3EAP	-3.35540530867585	-0.834200776100951	0.00418461806755654	2.5212045325749	0.0686280033018867	FALSE	None
DPH1	-1.48370387104964	0.983722570458253	1.28934500757877e-08	2.46742644150789	9.9902749003895e-06	TRUE	Suppressor
SCO1	-3.9799476760883	-1.5132738248848	0.00417619494695875	2.4666738512035	0.0686280033018867	FALSE	None
NFU1	-3.48430953069184	-1.03919040291863	0.00104461616501524	2.44511912777322	0.0263935899519339	FALSE	None
HSD17B12	-4.30808327903646	-1.88138301282685	0.00118667446462527	2.42670026620961	0.0287335915939734	FALSE	None
DRAP1	-1.68195906314694	0.718105787795087	0.000175532048762938	2.40006485094202	0.00728614727409732	TRUE	Suppressor
MTX2	-2.34157519154503	0.0465699741730976	5.15738003031508e-08	2.38814516571813	2.66407330677053e-05	TRUE	Suppressor
SLIRP	-4.45554999060196	-2.08182342980157	0.000112534032261475	2.37372656080038	0.00507932733964658	TRUE	Suppressor
DARS2	-4.23099311444444	-1.870265486441	0.000721660982169333	2.36072762800344	0.0216748299238019	FALSE	None
MCTS1	-1.72820301189989	0.62158014057462	1.28934500757877e-08	2.34978315247451	9.9902749003895e-06	TRUE	Suppressor
MTFMT	-3.05537547308939	-0.732582689155175	0.00230645771025736	2.32279278393422	0.0435883003861238	FALSE	None
GPI	-3.32766723319765	-1.05249790933611	0.00013540920159486	2.27516932386154	0.00599540360204291	TRUE	Suppressor
GSK3B	1.19066024842686	3.4413471049614	3.43223641017469e-05	2.25068685653455	0.00201980595834204	TRUE	Suppressor
MAU2	-2.00534741666325	0.241363213443089	3.86803502273631e-07	2.24671063010634	8.17386128213687e-05	TRUE	Suppressor
NDUFAF4	-2.47495611327809	-0.249473360775624	1.55495007914e-05	2.22548275250247	0.00126823910840734	TRUE	Suppressor
PPP2R2A	-1.04865644067416	1.17589850532453	2.44975551439966e-07	2.22455494599869	6.32717410358002e-05	TRUE	Suppressor
PDSS1	-3.56304698634708	-1.35252777545565	1.5879551111991e-05	2.21051921089143	0.00127282815723528	TRUE	Suppressor
COA6	-3.50035169928742	-1.29476222740751	0.00011437034906249	2.20558947187991	0.00511257454607226	TRUE	Suppressor
SCAP	-3.65032326523342	-1.46618397625173	0.000904651965137687	2.18413928898169	0.024170844746696	FALSE	None
OPA1	-2.74982877555439	-0.575098504743488	0.0145191723023937	2.1747302708109	0.1418059496509	FALSE	None
NDUFAF5	-3.69090930663525	-1.54727566222573	0.000903456454072964	2.14363364440951	0.024170844746696	FALSE	None
MRTO4	-4.11692661017092	-1.97746762650335	0.00723457386366056	2.13945898366757	0.096345991572875	FALSE	None
DPH2	-1.04708339794166	1.07213045163998	4.80925687826881e-06	2.11921384958165	0.000588374611238729	TRUE	Suppressor
STK11	-1.18550558099577	0.933044218783664	3.86349984720537e-05	2.11854979977944	0.00224517634870722	TRUE	Suppressor
NDUFAF3	-3.00093141588929	-0.914873949006249	0.0140184800961559	2.08605746688304	0.1418059496509	FALSE	None
GRSF1	-4.68593256543957	-2.61366953978814	0.000834090178852782	2.07226302565142	0.0229448830857194	FALSE	None
ATP13A1	-3.82409248692584	-1.75462719084274	0.000187947913795081	2.0694652960831	0.00773247655958701	TRUE	Suppressor
FANCA	-1.91309143767553	0.151440795414463	1.54721400909452e-07	2.06453223308999	5.53307532944649e-05	TRUE	Suppressor
DSCC1	-3.17787962074299	-1.12165676765319	0.000769700611249004	2.0562228530898	0.0227919626859657	FALSE	None
COQ2	-3.52837125448333	-1.48333916319377	0.00391847050991082	2.04503209128956	0.0650606050020551	FALSE	None
ECSIT	-2.70449580227074	-0.660716066199768	0.00118667446462527	2.04377973607098	0.0287335915939734	FALSE	None
HDAC3	-2.05833221584862	-0.02032334009316	0.000577781284796198	2.03800887575546	0.0185248634001209	FALSE	None
AIFM1	-4.50688201363483	-2.4691158288696	0.000821887507683715	2.03776618476523	0.0229448830857194	FALSE	None
LIG3	-2.99331477411369	-0.980015004357965	0.000577781284796198	2.01329976975572	0.0185248634001209	FALSE	None
FANCG	-2.57295219353715	-0.569706116176443	0.00270187403718162	2.00324607736071	0.0494528047199107	FALSE	None
NDUFB6	-4.77744507661902	-2.78920690275859	0.00697835143480848	1.98823817386043	0.0940358139722453	FALSE	None
GTPBP3	-2.04940570352337	-0.0747679632237999	0.00140235190883746	1.97463774029957	0.0316248667368504	FALSE	None
BTAF1	-2.22703522365946	-0.256719718620186	0.0031553753566973	1.97031550503927	0.0551478948619764	FALSE	None
CABIN1	-0.688587576674382	1.26191583026026	1.28934500757877e-08	1.95050340693465	9.9902749003895e-06	TRUE	Suppressor
RPUSD3	-4.59263743078957	-2.6432114393678	0.00983943318433297	1.94942599142177	0.116517894676681	FALSE	None
KRI1	-2.66661030621353	-0.754423952656608	0.0319747445121478	1.91218635355692	0.233670075665907	FALSE	None
TSC2	-2.03363872376646	-0.12405145041281	0.00140811946967693	1.90958727335365	0.0316248667368504	FALSE	None
NOA1	-3.58800708454624	-1.68881720495616	3.43223641017469e-05	1.89918987959009	0.00201980595834204	TRUE	Suppressor
MFN2	-2.99398119501378	-1.10229972158625	0.000950215124614282	1.89168147342753	0.0252431435104674	FALSE	None
NOLC1	-3.77189806271706	-1.88755177989565	0.00754354504894096	1.88434628282141	0.096345991572875	FALSE	None
MORF4L1	-0.804809305141271	1.07680311352835	3.86803502273631e-07	1.88161241866962	8.17386128213687e-05	TRUE	Suppressor
PGLS	-2.29562503934184	-0.41864048556947	0.000144016004612276	1.87698455377237	0.00619935560594881	TRUE	Suppressor
ASNS	-3.04927790798843	-1.17287116306302	0.00564807028651344	1.87640674492541	0.0831210288547636	FALSE	None
GATAD1	0.396026251767888	2.27194330600846	1.54721400909452e-07	1.87591705424057	5.53307532944649e-05	TRUE	Suppressor
FH	-3.66527100039933	-1.81003133046662	0.0012090785298346	1.85523966993271	0.0288256722318002	FALSE	None
