gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
SLC16A1/SLC16A3	-0.965501757558452	0.0839591380280138	0.000300627764942442	-0.956313799214704	-0.92337069025947	0.894378126272837	1.04946089558647	0.0329431089552342	0.00667178346344492	0.948361797842323	TRUE	FALSE	Suppressor	None
MDM4/TP53	0.229166576545625	-0.00654265792791609	0.0616165090024757	0.242927741907673	-0.215209216787784	0.0507375437531646	-0.235709234473541	-0.458136958695457	0.282047400363445	0.197481457721898	FALSE	FALSE	None	None
APC/CTNNB1	0.293180541708121	0.123568982631981	0.44288187989369	0.0722761240665701	-0.16463886746055	0.351411521948121	-0.16961155907614	-0.23691499152712	0.755572760973486	0.587584196321185	FALSE	FALSE	None	None
BRAF/MAP2K1	-0.502495512568385	-0.412959470374313	0.862160641566881	-0.78880054902079	-0.806045742533016	0.926767514801739	0.0895360421940724	-0.0172451935122264	0.954692362893479	0.957708878570955	FALSE	FALSE	None	None
CCNE1/CDK2	-0.804946842616527	-1.27796659111642	0.0728198007971953	-1.05607846849748	-1.94783239317673	0.00364388704124134	-0.473019748499893	-0.891753924679256	0.30936516678547	0.032896202455651	FALSE	FALSE	None	None
BRAF/PEA15	0.0955560694364505	-0.18229117394177	0.00722385154435779	0.116133867537132	-0.499053547153734	0.00935686782804674	-0.277847243378221	-0.615187414690866	0.074531801648136	0.062700660703406	FALSE	FALSE	None	None
CBFB/RUNX1	0.316457039400627	-0.248220112868565	0.0193695590781322	0.0653734629035844	-0.383441137050189	0.0355081424433434	-0.564677152269192	-0.448814599953773	0.151689318081758	0.150851585543616	FALSE	FALSE	None	None
SMARCA2/SMARCA4	-0.448557302752553	-0.490227434351619	0.645619885743913	-0.6891670876885	-0.361481303967393	0.246506703044604	-0.0416701315990659	0.327685783721107	0.872449817638701	0.493364394679801	FALSE	FALSE	None	None
BRD4/KDM4C	-0.475582655419592	0.470818271331022	0.0182794093328219	-0.685188829477814	0.764920372503783	0.00419749002679965	0.946400926750614	1.4501092019816	0.146686618102892	0.035433357369088	FALSE	FALSE	None	None
BRD4/KDM6B	-0.736728601148724	0.229854163233288	0.000718634256850065	-1.14437711577514	0.476837781931578	0.00160557280857217	0.966582764382012	1.62121489770672	0.0120058158507664	0.0183078111132733	FALSE	FALSE	None	None
SRRM1/SRRM2	-1.90515719789607	-1.88203387585819	0.917882763430253	-2.33618888946068	-2.11998245711099	0.885230821336044	0.0231233220378781	0.216206432349694	0.970119993869373	0.948361797842323	FALSE	FALSE	None	None
TRA2A/TRA2B	-1.96794011306452	-1.8904067260008	0.788460357381613	-2.31840631592855	-2.64954381865495	0.247943372474423	0.077533387063716	-0.3311375027264	0.930350559295237	0.493364394679801	FALSE	FALSE	None	None
PAIP1/PAIP2	-0.0884821667265807	0.28788011415386	0.0930466180219924	-0.173046231606925	0.541594682602254	0.0271471427377032	0.376362280880441	0.714640914209179	0.36215749529518	0.132674005860956	FALSE	FALSE	None	None
EIF4E/EIF4E2	-1.65400718878892	-2.57701578842064	0.134923478657927	-2.07597705043461	-2.92160857238019	0.124457246364292	-0.923008599631719	-0.845631521945581	0.454405498070737	0.328359409000095	FALSE	FALSE	None	None
ENO1/ENO2	-3.60981345726312	-3.68885022794583	0.695217796241618	-3.8642018065251	-4.1121729067666	0.283607296305189	-0.07903677068271	-0.247971100241497	0.893066339045557	0.52074786044738	FALSE	FALSE	None	None
ENO1/ENO3	-3.25038647898197	-3.02004228768684	0.536175709430201	-3.14826022994133	-3.616575749699	0.278964121630858	0.23034419129513	-0.468315519757677	0.818108476830119	0.51807622588588	FALSE	FALSE	None	None
ENO2/ENO3	-0.510828960143001	-0.416467435341005	0.587992653723386	-0.495638042578077	-0.582820847559993	0.736023489685306	0.0943615248019954	-0.0871828049819158	0.84739355749755	0.871430361193896	FALSE	FALSE	None	None
CREBBP/EP300	-1.40890340851406	-0.230007385186393	0.00190858669684926	-1.46946308911259	0.24175269873128	0.000251250426972501	1.17889602332767	1.71121578784387	0.0258454448531671	0.00563147508731468	FALSE	TRUE	None	Suppressor
BCL2L1/BCL2L2	-2.8943744667587	-2.46592966284306	0.591368108210958	-3.18181831273882	-2.53861327157853	0.495623309085694	0.428444803915644	0.643205041160287	0.84739355749755	0.702692215923324	FALSE	FALSE	None	None
BCL2L1/MCL1	-2.2070909900497	-1.8843654655189	0.389894470331993	-2.13910377529181	-1.95908990164725	0.693474392213278	0.322725524530792	0.180013873644567	0.730349872379814	0.852095188919907	FALSE	FALSE	None	None
PARP1/PARP2	-0.202466899681632	-0.0792383849730226	0.519439475094657	-0.522282389568747	-0.610970589959914	0.705414168897006	0.12322851470861	-0.0886882003911669	0.805813028189802	0.858650205586243	FALSE	FALSE	None	None
MAPK1/MAPK3	-0.760713185172489	-1.00151051667363	0.620681236033931	-0.871416762906428	-1.45393463588797	0.248200241631223	-0.240797331501137	-0.582517872981537	0.856566461617952	0.493364394679801	FALSE	FALSE	None	None
MDM2/TP53	0.327982980372278	0.200098627736133	0.222093193036212	0.389036787744725	0.0511117718060703	0.0930466180219924	-0.127884352636145	-0.337925015938654	0.570595159974459	0.28000139682544	FALSE	FALSE	None	None
ABHD12/ABHD12B	-0.00555525590035413	-0.175369256235181	0.395580535892945	0.0458321555040793	-0.452858368851946	0.0551516343142924	-0.169814000334827	-0.498690524356026	0.734649566658326	0.203212401928774	FALSE	FALSE	None	None
ABL1/ABL2	0.104436091618365	-0.31558010897173	0.0172422873137515	0.10015317853216	-0.652927363972081	0.00676255383690067	-0.420016200590095	-0.753080542504241	0.140093584424231	0.0499506817498345	FALSE	FALSE	None	None
DMWD/WDR20	-0.308408930778199	-0.145296833449516	0.690279643084975	-0.51972953411953	-0.389448888643198	1	0.163112097328683	0.130280645476332	0.893066339045557	1	FALSE	FALSE	None	None
HNRNPL/HNRNPLL	-2.07244035956696	-2.11709735613385	0.812539067615869	-2.42756596826406	-2.57518940976034	0.772764011255206	-0.0446569965668906	-0.147623441496282	0.93511482976054	0.889089553779584	FALSE	FALSE	None	None
ACBD3/TMED8	0.27454724178582	-0.00396428267229341	0.0501221391155248	0.280779764301089	-0.163646096008123	0.0125940922489078	-0.278511524458114	-0.444425860309212	0.247965439395166	0.0779634282075242	FALSE	FALSE	None	None
ACSL1/ACSL6	0.339863707066716	-0.0230446586721987	0.00996919164057078	0.220734949543944	-0.302203800671772	0.0055303422025576	-0.362908365738914	-0.522938750215717	0.095293743623103	0.0417990980425866	FALSE	FALSE	None	None
ACTR1A/ACTR1B	-2.38536578252255	-2.3145941084191	0.917882763430253	-2.72757112884224	-2.54455161888265	0.657497653920716	0.0707716741034505	0.183019509959586	0.970119993869373	0.828658900151044	FALSE	FALSE	None	None
ACVR2A/ACVR2B	-0.635070841771856	-0.238779293375431	0.0634793489995475	-1.11393166805736	-0.142803487704405	0.00144299861593301	0.396291548396425	0.971128180352954	0.287661016215074	0.0176766902784676	FALSE	FALSE	None	None
ADAMTS10/ADAMTS6	0.16343909117152	0.295326732861252	0.407115953422494	0.217455161494162	0.118129242745149	0.814269220991486	0.131887641689732	-0.0993259187490127	0.742704211751698	0.906292797336414	FALSE	FALSE	None	None
ADAMTSL1/ADAMTSL3	-0.0691475816209025	0.0993481639998763	0.147193088330826	-0.0420952876138986	0.0301440513562721	0.894378126272837	0.168495745620779	0.0722393389701707	0.462200518913221	0.948361797842323	FALSE	FALSE	None	None
ADAP1/ADAP2	-0.650230051868675	-0.530777840435903	0.288249420703209	-0.470513565144666	-0.491534993890747	0.702843935801592	0.119452211432772	-0.0210214287460804	0.649931148085684	0.858650205586243	FALSE	FALSE	None	None
ADSS/ADSSL1	-1.6177906088085	-2.10706960219506	0.143184369752263	-2.45131756225433	-2.82582288285502	0.274450337162207	-0.489278993386552	-0.374505320600686	0.45847211989641	0.511153923081474	FALSE	FALSE	None	None
AGPAT3/AGPAT4	0.118477607217596	0.263335710224289	0.281836840523597	-0.222736900287596	0.103445286419544	0.185272618270148	0.144858103006693	0.32618218670714	0.64231617630095	0.408227802968122	FALSE	FALSE	None	None
AHCYL1/AHCYL2	-0.299912691035078	-0.79931812830133	0.178473760650817	-0.421957227230342	-1.45911876432494	0.00187727955214626	-0.499405437266252	-1.0371615370946	0.517892609031389	0.0196811565950817	FALSE	FALSE	None	None
AHNAK/AHNAK2	-0.0725118009629416	-0.234352355713376	0.657445420131793	-0.115600068910978	-0.651858625067254	0.06795053988198	-0.161840554750434	-0.536258556156275	0.872449817638701	0.230142114122919	FALSE	FALSE	None	None
AHSA1/AHSA2	0.239193275563311	0.0452786465245033	0.480345250423796	0.234978841394738	-0.0746384791973045	0.23817210115098	-0.193914629038808	-0.309617320592043	0.788445486806736	0.483787080462928	FALSE	FALSE	None	None
AJUBA/WTIP	-0.263059140549364	-0.3621341558221	0.591871807852135	-0.463789905732663	-0.859498476316844	0.183505165959948	-0.0990750152727365	-0.395708570584181	0.84739355749755	0.408227802968122	FALSE	FALSE	None	None
AK1/AK5	-0.0720183580055551	-0.250190369357164	0.736023489685306	-0.0947497048578303	-0.537974986159982	0.206792440630272	-0.178172011351609	-0.443225281302152	0.907808858245634	0.435000279642967	FALSE	FALSE	None	None
ALMS1/C10orf90	0.00144658580901303	-0.0345354864935268	0.830166612296523	0.0449188388588335	-0.349723952081411	0.0677264535477586	-0.0359820723025399	-0.394642790940244	0.946681224548666	0.230142114122919	FALSE	FALSE	None	None
AMOT/AMOTL2	0.527522015752209	-0.61851255155001	6.37291384561707e-08	0.379815992745258	-1.09862753580688	1.88479741308199e-08	-1.14603456730222	-1.47844352855214	1.03559849991277e-05	2.45023663700658e-06	TRUE	TRUE	Sensitizer	Sensitizer
ANK2/ANK3	-0.454969779871137	-0.837511476234616	0.147193088330826	-0.538656243974315	-1.10786849010295	0.0273586150162755	-0.382541696363479	-0.56921224612863	0.462200518913221	0.132709699705814	FALSE	FALSE	None	None
ANKRD11/ANKRD12	-0.282653046624937	0.501635460533045	8.74923361042985e-06	-0.592683943532644	0.889383957397987	3.32359579500069e-09	0.784288507157982	1.48206790093063	0.000437461680521493	7.2011242225015e-07	TRUE	TRUE	Suppressor	Suppressor
ANO4/ANO5	0.418865177435061	0.0117509139004387	0.0482796869790336	0.40085022990753	-0.0603036359885341	0.0532971859384616	-0.407114263534622	-0.461153865896064	0.241398434895168	0.202591642456141	FALSE	FALSE	None	None
ANXA5/ANXA6	0.167019947409237	0.227410901847255	0.660377400428063	0.159080493168323	0.0129820523954422	0.493199173554005	0.0603909544380179	-0.146098440772881	0.872449817638701	0.701486789518825	FALSE	FALSE	None	None
AP1B1/AP2B1	-1.59544793514197	-1.58030857695351	0.975559196195001	-1.89962260478563	-1.99568175826118	0.95927643725843	0.0151393581884569	-0.0960591534755475	0.996450957619091	0.978853507406561	FALSE	FALSE	None	None
AP1G1/AP1G2	-1.03046650212463	-1.04885711110051	0.862160641566881	-1.6236106959097	-1.54576690467842	0.901535968059336	-0.018390608975881	0.0778437912312784	0.954692362893479	0.951296070192481	FALSE	FALSE	None	None
AP2A1/AP2A2	-1.58930948121111	-1.55505590152487	0.901525331514206	-2.16134153814552	-2.28491084154524	0.457840031591804	0.0342535796862402	-0.123569303399719	0.970119993869373	0.670261307510523	FALSE	FALSE	None	None
AP3B1/AP3B2	-0.698661559746976	-0.31092813742296	0.135903356645343	-0.677242502977306	-0.785516585703145	0.736023489685306	0.387733422324016	-0.108274082725839	0.455346298038519	0.871430361193896	FALSE	FALSE	None	None
