gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
SLC16A1/SLC16A3	24	24	24	24
MDM4/TP53	24	24	24	24
APC/CTNNB1	24	24	24	24
BRAF/MAP2K1	24	24	24	24
CCNE1/CDK2	24	24	24	24
BRAF/PEA15	24	24	24	24
CBFB/RUNX1	24	24	24	24
SMARCA2/SMARCA4	24	24	24	24
BRD4/KDM4C	24	24	24	24
BRD4/KDM6B	24	24	24	24
SRRM1/SRRM2	24	24	24	24
TRA2A/TRA2B	24	24	24	24
PAIP1/PAIP2	24	24	24	24
EIF4E/EIF4E2	24	24	24	24
ENO1/ENO2	24	24	24	24
ENO1/ENO3	24	24	24	24
ENO2/ENO3	24	24	24	24
CREBBP/EP300	24	24	24	24
BCL2L1/BCL2L2	24	24	24	24
BCL2L1/MCL1	24	24	24	24
PARP1/PARP2	24	24	24	24
MAPK1/MAPK3	24	24	24	24
MDM2/TP53	24	24	24	24
ABHD12/ABHD12B	24	24	24	24
ABL1/ABL2	24	24	24	24
DMWD/WDR20	24	24	24	24
HNRNPL/HNRNPLL	24	24	24	24
ACBD3/TMED8	24	24	24	24
ACSL1/ACSL6	24	24	24	24
ACTR1A/ACTR1B	24	24	24	24
ACVR2A/ACVR2B	24	24	24	24
ADAMTS10/ADAMTS6	24	24	24	24
ADAMTSL1/ADAMTSL3	24	24	24	24
ADAP1/ADAP2	24	24	24	24
ADSS/ADSSL1	24	24	24	24
AGPAT3/AGPAT4	24	24	24	24
AHCYL1/AHCYL2	24	24	24	24
AHNAK/AHNAK2	24	24	24	24
AHSA1/AHSA2	24	24	24	24
AJUBA/WTIP	24	24	24	24
AK1/AK5	24	24	24	24
ALMS1/C10orf90	24	24	24	24
AMOT/AMOTL2	24	24	24	24
ANK2/ANK3	24	24	24	24
ANKRD11/ANKRD12	24	24	24	24
ANO4/ANO5	24	24	24	24
ANXA5/ANXA6	24	24	24	24
AP1B1/AP2B1	24	24	24	24
AP1G1/AP1G2	24	24	24	24
AP2A1/AP2A2	24	24	24	24
AP3B1/AP3B2	24	24	24	24
APBA2/APBA3	24	24	24	24
APBB2/APBB3	24	24	24	24
APH1A/APH1B	24	24	24	24
APLP1/APLP2	24	24	24	24
ARAP2/ARAP3	24	24	24	24
ARF4/ARF5	24	24	24	24
ARFGEF1/ARFGEF2	24	24	24	24
ARHGAP22/ARHGAP24	24	24	24	24
ARHGAP31/ARHGAP33	24	24	24	24
ARHGEF1/ARHGEF12	24	24	24	24
ARHGEF6/ARHGEF7	24	24	24	24
ARHGEF37/DNMBP	24	24	24	24
ARID1A/ARID1B	24	24	24	24
ARL8A/ARL8B	24	24	24	24
ARNT/ARNT2	24	24	24	24
ARPC5/ARPC5L	24	24	24	24
ATAD2/ATAD2B	24	24	24	24
ATF3/JDP2	24	24	24	24
ATF6/ATF6B	24	24	24	24
ATG4A/ATG4B	24	24	24	24
ATG4C/ATG4D	24	24	24	24
ATG16L1/ATG16L2	24	24	24	24
ATP6V0A1/ATP6V0A4	24	24	24	24
ATP6V0A2/TCIRG1	24	24	24	24
ATP6V1C1/ATP6V1C2	24	24	24	24
ATP8A1/ATP8A2	24	24	24	24
ATP9A/ATP9B	24	24	24	24
ATRN/ATRNL1	24	24	24	24
ATXN1/ATXN1L	24	24	24	24
ATXN7/ATXN7L2	24	24	24	24
AUH/ECHDC2	24	24	24	24
AXIN1/AXIN2	24	24	24	24
B4GALT5/B4GALT6	24	24	24	24
BACH1/BACH2	24	24	24	24
BAG3/BAG4	24	24	24	24
BAIAP3/UNC13D	24	24	24	24
BANK1/PIK3AP1	24	24	24	24
BCOR/BCORL1	24	24	24	24
BEGAIN/TJAP1	24	24	24	24
BMI1/PCGF2	24	24	24	24
BMPR1A/BMPR1B	24	24	24	24
BRD7/BRD9	24	24	24	24
BRMS1/BRMS1L	24	24	24	24
BTBD1/BTBD2	24	24	24	24
BTBD3/BTBD6	24	24	24	24
BTBD10/KCTD20	24	24	24	24
BTRC/FBXW11	24	24	24	24
