gene1	gene2	time1_expected_logFC1	time1_expected_logFC2	time1_observed_logFC1	time1_observed_logFC2	time1_fdr1	time1_fdr2	time1_gi1	time1_gi2	time2_expected_logFC1	time2_expected_logFC2	time2_observed_logFC1	time2_observed_logFC2	time2_fdr1	time2_fdr2	time2_gi1	time2_gi2	time1_mean_expected_logFC	time1_mean_observed_logFC	time2_mean_expected_logFC	time2_mean_observed_logFC	time1_both_gi	time2_both_gi
SLC16A1	SLC16A3	0.589447055893783	1.38940859806361	-0.853399119002083	-0.929803253859196	0.00357541459844682	9.85632628015771e-07	TRUE	TRUE	0.738401831490099	2.00127466030465	-0.882676541971973	-0.861312697724652	0.00313002774755736	9.85632628015771e-07	TRUE	TRUE	0.989427826978696	-0.891601186430639	1.36983824589737	-0.871994619848313	TRUE	TRUE
MDM4	TP53	0.708293699662006	1.19323784016902	0.113259660025343	0.275146389644777	0.279333311650366	0.0834710858454564	FALSE	TRUE	0.367280150616316	0.93485131784398	0.213960118149382	0.229493724320959	0.957859112210744	0.273665565345703	FALSE	FALSE	0.950765769915513	0.19420302483506	0.651065734230148	0.221726921235171	FALSE	FALSE
APC	CTNNB1	-0.363887589595312	1.36813057983193	-0.0127366090779718	0.409689612892322	0.251301928475643	0.0867217902725433	FALSE	TRUE	-0.278790514732019	1.00328770429334	-0.257347320311881	0.381813464716727	0.814141088528057	0.210536621840502	FALSE	FALSE	0.502121495118309	0.198476501907175	0.36224859478066	0.062233072202423	FALSE	FALSE
MAP2K1	BRAF	0.107665367913877	-0.202863013559912	-0.457040383787438	-0.67002903524545	0.105303338427519	0.31643204606992	FALSE	FALSE	0.217020614175885	-0.866105258543007	-0.588911627576709	-0.933429781833022	0.0954081472599667	0.842957306149961	TRUE	FALSE	-0.0475988228230175	-0.563534709516444	-0.324542322183561	-0.761170704704865	FALSE	FALSE
CDK2	CCNE1	-1.86968068162182	-0.375341355674623	-0.567903151166934	-0.998922299305297	0.0135782081679592	0.425150560848372	TRUE	FALSE	-2.2817638769526	-0.774201182702579	-0.760754902306609	-1.2685954472336	0.00954580921102906	0.758275122315554	TRUE	FALSE	-1.12251101864822	-0.783412725236115	-1.52798252982759	-1.0146751747701	FALSE	FALSE
PEA15	BRAF	0.763963552366729	0.241835007141817	0.00817668727828496	-0.0777190353270211	0.00190919816476593	0.335436167163817	TRUE	FALSE	1.11749569931724	-0.399865021488951	0.00484681249269448	0.0787805159884935	4.49294873290306e-05	0.391817546427116	TRUE	FALSE	0.502899279754273	-0.0347711740243681	0.358815338914145	0.041813664240594	FALSE	FALSE
CBFB	RUNX1	-0.426524013956297	0.567010064376972	0.0621721225575904	0.535443622122821	0.131737174105202	0.963599091909386	FALSE	FALSE	-0.115707447718184	0.331121478897553	0.150608177619644	-0.0209804439941178	0.678933934554934	0.957859112210744	FALSE	FALSE	0.0702430252103375	0.298807872340206	0.107707015589684	0.0648138668127631	FALSE	FALSE
SMARCA2	SMARCA4	-0.946849788913365	0.95441990838686	-1.1539404515206	0.208912359681726	0.795008113189877	0.0268532726624854	FALSE	TRUE	-1.19866830594251	0.934886435877415	-1.7999419142259	0.0555796023880225	0.578914418780431	0.060318466061549	FALSE	TRUE	0.00378505973674748	-0.472514045919437	-0.131890935032548	-0.872181155918939	FALSE	FALSE
KDM4C	BRD4	-0.775630814261694	0.734351672716133	-0.394385983469598	-0.972600563311963	0.423606871404388	0.0256533690504701	FALSE	TRUE	-2.0991214578893	-0.245722136509583	-0.59625231432309	-1.31559750740621	0.127306503765554	0.245665888487972	FALSE	FALSE	-0.0206395707727805	-0.68349327339078	-1.17242179719944	-0.95592491086465	FALSE	FALSE
KDM6B	BRD4	-0.0951417477340031	0.317797286941341	-0.934622881909547	-0.766613199439665	0.0496548391099092	0.0580613929858763	TRUE	TRUE	-0.138041771302883	0.0547858193650918	-1.19143747370578	-1.2555585553724	0.0115297910934536	0.0213401110598248	TRUE	TRUE	0.111327769603669	-0.850618040674606	-0.0416279759688956	-1.22349801453909	TRUE	TRUE
SRRM1	SRRM2	-2.29031080038753	-1.86975705206911	-1.81127647356769	-1.72616928247218	0.795008113189877	0.795008113189877	FALSE	FALSE	-2.48617144444381	-1.07271611241343	-2.26804738382144	-2.05594340457323	0.981685989247356	0.169285527977266	FALSE	FALSE	-2.08003392622832	-1.76872287801993	-1.77944377842862	-2.16199539419734	FALSE	FALSE
TRA2A	TRA2B	-2.08430061520504	-1.96242843734883	-2.15700303689376	-1.9360491176041	0.984590385665247	0.963599091909386	FALSE	FALSE	-4.21933481872418	-1.78866297673776	-2.51768706710172	-2.39054395161764	0.00477861485290264	0.652945574760684	TRUE	FALSE	-2.02336452627693	-2.04652607724893	-3.00399889773097	-2.45411550935968	FALSE	FALSE
PAIP1	PAIP2	-0.256596945479681	0.396839156501765	0.217958086377919	-0.18671865392744	0.267679431248426	0.104389706505796	FALSE	FALSE	-0.880347429095958	0.506569264826876	-0.0610948070021201	-0.203151258609606	0.0781559499599689	0.0656941395143501	TRUE	TRUE	0.070121105511042	0.0156197162252395	-0.186889082134541	-0.132123032805863	FALSE	FALSE
EIF4E	EIF4E2	-2.05899044216844	-2.61478892282116	-1.26996428272242	-2.27219896268111	0.299281440569741	0.72655861770344	FALSE	FALSE	-2.19076224305257	-2.56722779488346	-1.64312459392926	-2.67966411123099	0.652945574760684	0.900291532279827	FALSE	FALSE	-2.3368896824948	-1.77108162270176	-2.37899501896801	-2.16139435258013	FALSE	FALSE
ENO1	ENO2	-2.78093623643764	-2.44760521381352	-3.95309786659846	-3.46826983264517	0.0476627869477069	0.0453594208941152	TRUE	TRUE	-2.75869377007997	-2.25981119225379	-4.64549805972003	-3.47524171761079	0.0119451513645766	0.0456768682300498	TRUE	TRUE	-2.61427072512558	-3.71068384962182	-2.50925248116688	-4.06036988866541	TRUE	TRUE
ENO1	ENO3	-3.39086664995957	-3.35853843454657	-3.62361045706145	-3.06021329459657	0.999401172917667	0.779724642190295	FALSE	FALSE	-3.5746345796865	-3.2022070133203	-3.37696343888102	-3.24497801684631	0.54807820575125	0.981685989247356	FALSE	FALSE	-3.37470254225307	-3.34191187582901	-3.3884207965034	-3.31097072786366	FALSE	FALSE
ENO2	ENO3	0.392622450542973	0.0916196433318575	-0.410500442469106	-0.425642141623762	0.00239855154460243	0.0422927119667949	TRUE	TRUE	0.114799329255536	-0.0116556822044516	-0.50471636454275	-0.407798725442082	0.0930392716831259	0.135980538424842	TRUE	FALSE	0.242121046937415	-0.418071292046434	0.0515718235255422	-0.456257544992416	TRUE	FALSE
CREBBP	EP300	-0.327808907997281	-0.242046169983822	-1.12653117635407	-1.49762448145421	0.0588063329288672	0.041410347571199	TRUE	TRUE	-0.552548317046027	-0.581746739306626	-1.04728154225163	-1.63170151782631	0.535439446631804	0.345764466899044	FALSE	FALSE	-0.284927538990552	-1.31207782890414	-0.567147528176327	-1.33949153003897	TRUE	FALSE
