gene1	gene2	time1_observed_logFC	time1_expected_logFC	time1_pval	time2_observed_logFC	time2_expected_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_is_gi	time2_is_gi
SLC16A1	SLC16A3	-0.853399119002083	0.589447055893783	0.000834090178852782	-0.882676541971973	0.738401831490099	0.000577781284796198	-1.44284617489587	-1.62107837346207	0.00357541459844682	0.00313002774755736	TRUE	TRUE
SLC16A3	SLC16A1	-0.929803253859196	1.38940859806361	1.28934500757877e-08	-0.861312697724652	2.00127466030465	1.28934500757877e-08	-2.3192118519228	-2.8625873580293	9.85632628015771e-07	9.85632628015771e-07	TRUE	TRUE
MDM4	TP53	0.113259660025343	0.708293699662006	0.168087196254726	0.213960118149382	0.367280150616316	0.93362940147438	-0.595034039636663	-0.153320032466934	0.279333311650366	0.957859112210744	FALSE	FALSE
TP53	MDM4	0.275146389644777	1.19323784016902	0.0385204502266459	0.229493724320959	0.93485131784398	0.160698965697186	-0.918091450524244	-0.705357593523021	0.0834710858454564	0.273665565345703	TRUE	FALSE
APC	CTNNB1	-0.0127366090779718	-0.363887589595312	0.148479991170565	-0.257347320311881	-0.278790514732019	0.712965124764759	0.35115098051734	0.0214431944201383	0.251301928475643	0.814141088528057	FALSE	FALSE
CTNNB1	APC	0.409689612892322	1.36813057983193	0.040839912860907	0.381813464716727	1.00328770429334	0.115978749531323	-0.958440966939608	-0.621474239576609	0.0867217902725433	0.210536621840502	TRUE	FALSE
MAP2K1	BRAF	-0.457040383787438	0.107665367913877	0.0507384544894223	-0.588911627576709	0.217020614175885	0.0420366468157282	-0.564705751701315	-0.805932241752594	0.105303338427519	0.0954081472599667	FALSE	TRUE
BRAF	MAP2K1	-0.67002903524545	-0.202863013559912	0.201188178541054	-0.933429781833022	-0.866105258543007	0.745551629058505	-0.467166021685538	-0.0673245232900143	0.31643204606992	0.842957306149961	FALSE	FALSE
CDK2	CCNE1	-0.567903151166934	-1.86968068162182	0.0043122652393882	-0.760754902306609	-2.2817638769526	0.00236564021872159	1.30177753045488	1.52100897464599	0.0135782081679592	0.00954580921102906	TRUE	TRUE
CCNE1	CDK2	-0.998922299305297	-0.375341355674623	0.304650038514895	-1.2685954472336	-0.774201182702579	0.628773193722418	-0.623580943630673	-0.494394264531025	0.425150560848372	0.758275122315554	FALSE	FALSE
PEA15	BRAF	0.00817668727828496	0.763963552366729	0.000388938995246825	0.00484681249269448	1.11749569931724	2.50022453857412e-06	-0.755786865088444	-1.11264888682455	0.00190919816476593	4.49294873290306e-05	TRUE	TRUE
BRAF	PEA15	-0.0777190353270211	0.241835007141817	0.217692221858495	0.0787805159884935	-0.399865021488951	0.255991260347367	-0.319554042468838	0.478645537477444	0.335436167163817	0.391817546427116	FALSE	FALSE
CBFB	RUNX1	0.0621721225575904	-0.426524013956297	0.0674961538838424	0.150608177619644	-0.115707447718184	0.539298539584697	0.488696136513887	0.266315625337828	0.131737174105202	0.678933934554934	FALSE	FALSE
RUNX1	CBFB	0.535443622122821	0.567010064376972	0.934887200362667	-0.0209804439941178	0.331121478897553	0.934887200362667	-0.0315664422541512	-0.35210192289167	0.963599091909386	0.957859112210744	FALSE	FALSE
