gene1	gene2	time1_expected_logFC1	time1_expected_logFC2	time1_observed_logFC1	time1_observed_logFC2	time1_fdr1	time1_fdr2	time1_gi1	time1_gi2	time2_expected_logFC1	time2_expected_logFC2	time2_observed_logFC1	time2_observed_logFC2	time2_fdr1	time2_fdr2	time2_gi1	time2_gi2	time1_mean_expected_logFC	time1_mean_observed_logFC	time2_mean_expected_logFC	time2_mean_observed_logFC	time1_both_gi	time2_both_gi
SLC16A1	SLC16A3	-0.600466930958771	-0.189550534895332	-0.957462213439137	-0.241227493109764	0.829282043725567	0.523129808072752	FALSE	FALSE	-0.965817919080978	-1.16398722304386	-1.38227463697538	-0.215132049877569	0.807703490303764	0.305393823394167	FALSE	FALSE	-0.395008732927052	-0.599344853274451	-1.06490257106242	-0.798703343426475	FALSE	FALSE
MDM4	TP53	1.13883897491305	0.975571430496003	1.96872965239445	1.53950489958871	0.16190186214207	0.286798672891476	FALSE	FALSE	0.974912138496169	1.09788167579124	2.17159911726663	1.61425891089427	0.0723076169587169	0.460484179542064	TRUE	FALSE	1.05720520270453	1.75411727599158	1.0363969071437	1.89292901408045	FALSE	FALSE
APC	CTNNB1	0.952730588199788	-0.954929587445339	-0.528322393648373	-0.0527755609312323	0.0269780301691798	0.199398878926739	TRUE	FALSE	1.68625356855706	-0.33466716405316	-0.581428932637672	-0.159108003249305	0.0128316052336123	0.980240207230791	TRUE	FALSE	-0.0010994996227755	-0.290548977289803	0.67579320225195	-0.370268467943488	FALSE	FALSE
MAP2K1	BRAF	0.00256210432724022	-0.594749177359059	-1.14598344817579	-1.03133425416613	0.0728070024485428	0.299731300176871	TRUE	FALSE	-0.551902995527569	-0.869735741326249	-1.24966683281428	-1.19637470173465	0.288190417183199	0.588009399589655	FALSE	FALSE	-0.296093536515909	-1.08865885117096	-0.710819368426909	-1.22302076727446	FALSE	FALSE
CDK2	CCNE1	-1.62970399373908	-0.147551093068123	-1.19673119900589	-0.723436748387625	0.378218810612239	0.521542241862167	FALSE	FALSE	-2.08842814450892	-0.450955291165459	-1.58301824111611	-1.07713249055508	0.362416803782633	0.309465642814292	FALSE	FALSE	-0.888627543403602	-0.960083973696757	-1.26969171783719	-1.3300753658356	FALSE	FALSE
PEA15	BRAF	-0.725681796873992	-1.08894272362569	-0.567354081864635	-0.349872844697707	0.487093124694164	0.0294884033731328	FALSE	TRUE	-1.07888670420444	-1.6300561532001	-0.731153350191846	-0.543302339206045	0.134149344427401	0.00505770662843829	FALSE	TRUE	-0.907312260249841	-0.458613463281171	-1.35447142870227	-0.637227844698945	FALSE	FALSE
CBFB	RUNX1	2.6903440290459	1.41344789972551	2.12777622834204	0.843232015370082	0.162072050612858	0.172902011460867	FALSE	FALSE	3.95719791706924	1.74475828590459	3.31134734644261	1.1435533740772	0.167302056705033	0.566157525421547	FALSE	FALSE	2.05189596438571	1.48550412185606	2.85097810148691	2.22745036025991	FALSE	FALSE
SMARCA2	SMARCA4	1.17933753002148	1.1674238554204	0.205796374018825	0.0267973303950282	0.00198029071844345	0.0070331408347849	TRUE	TRUE	0.521091114736219	1.01875712887779	0.0558975873561234	-0.106794925278959	0.33457401434309	0.00472312595260409	FALSE	TRUE	1.17338069272094	0.116296852206927	0.769924121807005	-0.0254486689614178	TRUE	FALSE
KDM4C	BRD4	-1.39595530468726	-1.62762315185709	-1.01727131422774	-1.6889905444895	0.60400436481502	0.935081393429884	FALSE	FALSE	-1.39872782792647	-2.42470690886015	-1.60423647899217	-1.77527172548077	0.723450276212558	0.426570588456645	FALSE	FALSE	-1.51178922827217	-1.35313092935862	-1.91171736839331	-1.68975410223647	FALSE	FALSE
KDM6B	BRD4	-0.458229338463247	-0.789467321505107	-1.07013515730983	-1.20842308284483	0.336376853822206	0.824516524830186	FALSE	FALSE	-1.03755390469402	-1.40840944941354	-1.22238453546457	-1.39707313364159	0.734030746061712	0.836873974827641	FALSE	FALSE	-0.623848329984177	-1.13927912007733	-1.22298167705378	-1.30972883455308	FALSE	FALSE
