gene1	gene2	time1_observed_logFC	time1_expected_logFC	time1_pval	time2_observed_logFC	time2_expected_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_is_gi	time2_is_gi
SLC16A1	SLC16A3	-0.957462213439137	-0.600466930958771	0.743702065375981	-1.38227463697538	-0.965817919080978	0.682673807575057	-0.356995282480366	-0.416456717894397	0.829282043725567	0.807703490303764	FALSE	FALSE
SLC16A3	SLC16A1	-0.241227493109764	-0.189550534895332	0.366875192434742	-0.215132049877569	-1.16398722304386	0.148479991170565	-0.0516769582144323	0.948855173166291	0.523129808072752	0.305393823394167	FALSE	FALSE
MDM4	TP53	1.96872965239445	1.13883897491305	0.0725969832424833	2.17159911726663	0.974912138496169	0.0176565111178262	0.829890677481401	1.19668697877046	0.16190186214207	0.0723076169587169	FALSE	TRUE
TP53	MDM4	1.53950489958871	0.975571430496003	0.160698965697186	1.61425891089427	1.09788167579124	0.276759023605586	0.563933469092704	0.516377235103034	0.286798672891476	0.460484179542064	FALSE	FALSE
APC	CTNNB1	-0.528322393648373	0.952730588199788	0.00656805240310701	-0.581428932637672	1.68625356855706	0.00140811946967693	-1.48105298184816	-2.26768250119474	0.0269780301691798	0.0128316052336123	TRUE	TRUE
CTNNB1	APC	-0.0527755609312323	-0.954929587445339	0.0975257598239064	-0.159108003249305	-0.33466716405316	0.967417297543179	0.902154026514107	0.175559160803854	0.199398878926739	0.980240207230791	FALSE	FALSE
MAP2K1	BRAF	-1.14598344817579	0.00256210432724022	0.0247628467630218	-1.24966683281428	-0.551902995527569	0.136198232947545	-1.14854555250303	-0.697763837286712	0.0728070024485428	0.288190417183199	TRUE	FALSE
BRAF	MAP2K1	-1.03133425416613	-0.594749177359059	0.170408940603331	-1.19637470173465	-0.869735741326249	0.40776523986914	-0.436585076807074	-0.326638960408403	0.299731300176871	0.588009399589655	FALSE	FALSE
CDK2	CCNE1	-1.19673119900589	-1.62970399373908	0.235837019989318	-1.58301824111611	-2.08842814450892	0.192007158399375	0.432972794733195	0.505409903392815	0.378218810612239	0.362416803782633	FALSE	FALSE
CCNE1	CDK2	-0.723436748387625	-0.147551093068123	0.364245708161005	-1.07713249055508	-0.450955291165459	0.15068457898661	-0.575885655319502	-0.626177199389624	0.521542241862167	0.309465642814292	FALSE	FALSE
PEA15	BRAF	-0.567354081864635	-0.725681796873992	0.333460554841499	-0.731153350191846	-1.07888670420444	0.0434673815847207	0.158327715009357	0.347733354012592	0.487093124694164	0.134149344427401	FALSE	FALSE
BRAF	PEA15	-0.349872844697707	-1.08894272362569	0.00731537709520642	-0.543302339206045	-1.6300561532001	0.000313216801549411	0.739069878927984	1.08675381399406	0.0294884033731328	0.00505770662843829	TRUE	TRUE
CBFB	RUNX1	2.12777622834204	2.6903440290459	0.0742044999172241	3.31134734644261	3.95719791706924	0.0612792417000994	-0.562567800703852	-0.645850570626632	0.162072050612858	0.167302056705033	FALSE	FALSE
RUNX1	CBFB	0.843232015370082	1.41344789972551	0.0814293446671917	1.1435533740772	1.74475828590459	0.389233298727313	-0.570215884355428	-0.601204911827397	0.172902011460867	0.566157525421547	FALSE	FALSE
SMARCA2	SMARCA4	0.205796374018825	1.17933753002148	0.000174138936723589	0.0558975873561234	0.521091114736219	0.173608899884423	-0.973541156002651	-0.465193527380096	0.00198029071844345	0.33457401434309	TRUE	FALSE
SMARCA4	SMARCA2	0.0267973303950282	1.1674238554204	0.000996702371208616	-0.106794925278959	1.01875712887779	0.000264302833103572	-1.14062652502537	-1.12555205415675	0.0070331408347849	0.00472312595260409	TRUE	TRUE
KDM4C	BRD4	-1.01727131422774	-1.39595530468726	0.452564316950789	-1.60423647899217	-1.39872782792647	0.559412132187618	0.378683990459512	-0.205508651065704	0.60400436481502	0.723450276212558	FALSE	FALSE
BRD4	KDM4C	-1.6889905444895	-1.62762315185709	0.895875950333113	-1.77527172548077	-2.42470690886015	0.24601421990009	-0.0613673926324143	0.649435183379386	0.935081393429884	0.426570588456645	FALSE	FALSE
KDM6B	BRD4	-1.07013515730983	-0.458229338463247	0.200131657622123	-1.22238453546457	-1.03755390469402	0.575595330669031	-0.611905818846581	-0.184830630770544	0.336376853822206	0.734030746061712	FALSE	FALSE
BRD4	KDM6B	-1.20842308284483	-0.789467321505107	0.729970055483488	-1.39707313364159	-1.40840944941354	0.729970055483488	-0.418955761339722	0.0113363157719466	0.824516524830186	0.836873974827641	FALSE	FALSE
SRRM1	SRRM2	-2.93468367345677	-1.99809188621521	0.0656906590032869	-3.42953872973051	-3.15816829303839	0.41060775539056	-0.936591787241556	-0.271370436692123	0.150770629454817	0.588009399589655	FALSE	FALSE
SRRM2	SRRM1	-2.30151390205623	-2.59735455506948	0.486364763954452	-2.79289161878675	-3.40751904696353	0.486364763954452	0.29584065301325	0.614627428176782	0.626623850890407	0.648486351939269	FALSE	FALSE
TRA2A	TRA2B	-1.05718276349397	0.652321664088648	1.55495007914e-05	-1.46289274768778	-0.231588297907711	0.0502223733334571	-1.70950442758262	-1.23130444978007	0.000350755952278137	0.143321980662134	TRUE	FALSE
TRA2B	TRA2A	-1.11619001419637	0.305894597100864	0.040839912860907	-1.44815527659112	0.237832414056596	0.0127990313408827	-1.42208461129724	-1.68598769064772	0.104066148327052	0.0577425151641135	FALSE	TRUE
PAIP1	PAIP2	-0.57489431945231	-0.647309893128267	1	-0.939683293109816	-0.684983528200875	0.65287003041307	0.0724155736759576	-0.254699764908941	1	0.785270246370965	FALSE	FALSE
PAIP2	PAIP1	-0.111018092837499	-0.182093576174799	0.870194456435353	-0.22527123453653	-0.571132861617619	0.436289427525659	0.0710754833372997	0.345861627081088	0.914036314545836	0.605786329238453	FALSE	FALSE
EIF4E	EIF4E2	-1.04806784479822	-0.747460090253416	0.934887200362667	-0.983883248665152	-1.30267150437702	0.436289427525659	-0.300607754544805	0.318788255711868	0.955014690199725	0.605786329238453	FALSE	FALSE
EIF4E2	EIF4E	-1.20776685208249	-3.16441208665113	0.00270187403718162	-1.5435701074163	-2.97761145843565	0.0329436416982427	1.95664523456864	1.43404135101935	0.014029353491177	0.107929645182814	TRUE	FALSE
ENO1	ENO2	-1.55836559244684	-0.877788396081911	0.00791469497079938	-2.0597116205311	-1.09373416960772	0.0156373463445782	-0.680577196364929	-0.965977450923381	0.0306759407883003	0.0666160636846429	TRUE	TRUE
ENO2	ENO1	-1.64749488854523	-0.420784148359793	0.000237312178905119	-2.20096439781283	-1.14742826573301	0.00760926955480014	-1.22671074018544	-1.05353613207982	0.00251185813979572	0.0405827709589341	TRUE	TRUE
ENO1	ENO3	-0.752762265186277	-1.12402185028854	0.378418491509446	-1.21628988388193	-1.6260158008679	0.220502725895787	0.371259585102263	0.409725916985968	0.539030894738093	0.395582465231556	FALSE	FALSE
ENO3	ENO1	-0.708247540805642	-0.810705224081892	0.941926055621452	-1.16677754748791	-1.28489277742319	0.984148684086801	0.10245768327625	0.118115229935279	0.960778541538264	0.9964595947781	FALSE	FALSE
ENO2	ENO3	-0.315516976588642	0.35571946993894	0.047683769836931	-0.536761197402357	-0.0422705382194478	0.158354637768206	-0.671236446527582	-0.494490659182909	0.118221382514625	0.315411141528103	FALSE	FALSE
ENO3	ENO2	-0.662662734460457	0.212031848423469	0.00488332307409176	-0.753669919172621	0.352546581350543	0.0145350035573447	-0.874694582883926	-1.10621650052316	0.0217154013786949	0.0626964416768225	TRUE	TRUE
