gene1	gene2	time1_n_observed	time2_n_observed	n_expected_gene1_cas9	n_expected_gene2_cpf1
SLC16A1	SLC16A3	15	15	3	5
SLC16A3	SLC16A1	15	15	3	5
MDM4	TP53	15	15	3	10
TP53	MDM4	15	15	6	5
APC	CTNNB1	15	15	3	5
CTNNB1	APC	15	15	3	5
MAP2K1	BRAF	15	15	6	10
BRAF	MAP2K1	15	15	6	10
CDK2	CCNE1	15	15	6	10
CCNE1	CDK2	15	15	6	10
PEA15	BRAF	15	15	3	10
BRAF	PEA15	15	15	6	5
CBFB	RUNX1	15	15	3	5
RUNX1	CBFB	15	15	3	5
SMARCA2	SMARCA4	15	15	3	5
SMARCA4	SMARCA2	15	15	3	5
KDM4C	BRD4	15	15	3	10
BRD4	KDM4C	15	15	6	5
KDM6B	BRD4	15	15	3	10
BRD4	KDM6B	15	15	6	5
SRRM1	SRRM2	15	15	15	5
SRRM2	SRRM1	15	15	3	5
TRA2A	TRA2B	15	15	3	5
TRA2B	TRA2A	15	15	3	5
PAIP1	PAIP2	15	15	3	5
PAIP2	PAIP1	15	15	3	5
EIF4E	EIF4E2	15	15	3	5
EIF4E2	EIF4E	15	15	3	5
ENO1	ENO2	15	15	6	10
ENO2	ENO1	15	15	6	10
ENO1	ENO3	15	15	6	10
ENO3	ENO1	15	15	6	10
ENO2	ENO3	15	15	6	10
ENO3	ENO2	15	15	6	10
CREBBP	EP300	15	15	3	5
EP300	CREBBP	15	15	3	5
BCL2L1	BCL2L2	15	15	6	5
BCL2L2	BCL2L1	15	15	3	10
BCL2L1	MCL1	15	15	6	5
MCL1	BCL2L1	15	15	3	10
PARP1	PARP2	15	15	3	5
PARP2	PARP1	9	9	3	3
MAPK1	MAPK3	15	15	3	5
MAPK3	MAPK1	15	15	3	5
MDM2	TP53	15	15	3	10
TP53	MDM2	15	15	6	5
ABHD12	ABHD12B	15	15	3	5
ABHD12B	ABHD12	15	15	3	5
ABL1	ABL2	15	15	3	5
ABL2	ABL1	15	15	3	5
DMWD	WDR20	15	15	3	5
WDR20	DMWD	15	15	3	5
HNRNPL	HNRNPLL	15	15	15	5
HNRNPLL	HNRNPL	15	15	3	5
ACBD3	TMED8	15	15	3	5
TMED8	ACBD3	15	15	3	5
DBI	ACBD7	15	15	3	5
ACBD7	DBI	4	4	1	4
ACSL1	ACSL6	15	15	3	5
ACSL6	ACSL1	15	15	3	5
ACTR1A	ACTR1B	15	15	3	5
ACTR1B	ACTR1A	15	15	3	5
ACVR2A	ACVR2B	15	15	3	5
ACVR2B	ACVR2A	15	15	3	5
ADAMTS6	ADAMTS10	15	15	3	5
ADAMTS10	ADAMTS6	15	15	3	5
ADAMTSL1	ADAMTSL3	15	15	3	5
ADAMTSL3	ADAMTSL1	15	15	3	5
ADAP2	ADAP1	15	15	3	5
ADAP1	ADAP2	15	15	3	5
ADSS	ADSSL1	15	15	15	5
ADSSL1	ADSS	15	15	3	5
AGPAT3	AGPAT4	15	15	3	5
AGPAT4	AGPAT3	15	15	3	5
AHCYL1	AHCYL2	15	15	3	5
AHCYL2	AHCYL1	15	15	3	5
AHNAK	AHNAK2	15	15	3	5
AHNAK2	AHNAK	15	15	3	5
AHSA1	AHSA2	15	15	3	5
AHSA2	AHSA1	15	15	3	5
AJUBA	WTIP	15	15	3	5
WTIP	AJUBA	15	15	3	5
AK1	AK5	15	15	3	5
AK5	AK1	15	15	3	5
AK3	AK4	10	10	2	5
AK4	AK3	10	10	2	5
ALMS1	C10orf90	15	15	3	5
C10orf90	ALMS1	15	15	3	5
AMOTL2	AMOT	15	15	3	5
AMOT	AMOTL2	15	15	3	5
ANK3	ANK2	15	15	3	5
ANK2	ANK3	15	15	3	5
ANKRD11	ANKRD12	15	15	3	5
ANKRD12	ANKRD11	15	15	3	5
ANO4	ANO5	15	15	3	5
ANO5	ANO4	15	15	3	5
ANXA5	ANXA6	15	15	3	5
ANXA6	ANXA5	15	15	3	5
AP2B1	AP1B1	15	15	3	5
AP1B1	AP2B1	15	15	3	5
AP1G1	AP1G2	15	15	3	5
AP1G2	AP1G1	15	15	3	5
AP2A2	AP2A1	15	15	3	5
AP2A1	AP2A2	15	15	3	5
AP3B1	AP3B2	15	15	3	5
AP3B2	AP3B1	15	15	3	5
APBA3	APBA2	15	15	3	5
APBA2	APBA3	15	15	3	5
APBB2	APBB3	15	15	3	5
APBB3	APBB2	15	15	3	5
APH1A	APH1B	15	15	3	5
APH1B	APH1A	15	15	3	5
APLP2	APLP1	15	15	3	5
APLP1	APLP2	15	15	3	5
ARAP3	ARAP2	15	15	3	5
ARAP2	ARAP3	15	15	3	5
ARF4	ARF5	15	15	3	5
ARF5	ARF4	15	15	3	5
ARFGEF2	ARFGEF1	15	15	3	5
ARFGEF1	ARFGEF2	15	15	3	5
ARHGAP22	ARHGAP24	15	15	3	5
ARHGAP24	ARHGAP22	15	15	3	5
ARHGAP33	ARHGAP31	15	15	3	5
ARHGAP31	ARHGAP33	15	15	3	5
ARHGEF1	ARHGEF12	15	15	3	5
ARHGEF12	ARHGEF1	15	15	3	5
ARHGEF7	ARHGEF6	15	15	3	5
ARHGEF6	ARHGEF7	15	15	3	5
DNMBP	ARHGEF37	15	15	3	5
ARHGEF37	DNMBP	15	15	3	5
ARID1A	ARID1B	15	15	3	5
ARID1B	ARID1A	15	15	3	5
ARL8B	ARL8A	15	15	3	5
ARL8A	ARL8B	15	15	3	5
ARNT	ARNT2	15	15	3	5
ARNT2	ARNT	15	15	3	5
ARPC5	ARPC5L	15	15	3	5
ARPC5L	ARPC5	15	15	3	5
ENSA	ARPP19	3	3	3	1
ARPP19	ENSA	5	5	1	5
ATAD2	ATAD2B	15	15	3	5
ATAD2B	ATAD2	15	15	3	5
ATF3	JDP2	15	15	3	5
JDP2	ATF3	15	15	3	5
ATF6B	ATF6	15	15	3	5
ATF6	ATF6B	15	15	3	5
ATG4B	ATG4A	15	15	3	5
ATG4A	ATG4B	15	15	3	5
ATG4D	ATG4C	15	15	3	5
ATG4C	ATG4D	15	15	3	5
ATG16L1	ATG16L2	15	15	3	5
ATG16L2	ATG16L1	15	15	3	5
ATP6V0A1	ATP6V0A4	15	15	3	5
ATP6V0A4	ATP6V0A1	15	15	3	5
ATP6V0A2	TCIRG1	15	15	3	5
TCIRG1	ATP6V0A2	15	15	3	5
ATP6V1C1	ATP6V1C2	15	15	3	5
ATP6V1C2	ATP6V1C1	15	15	3	5
ATP8A1	ATP8A2	15	15	3	5
ATP8A2	ATP8A1	15	15	3	5
ATP9A	ATP9B	15	15	3	5
ATP9B	ATP9A	15	15	3	5
ATRN	ATRNL1	15	15	3	5
ATRNL1	ATRN	15	15	3	5
ATXN1L	ATXN1	15	15	3	5
ATXN1	ATXN1L	15	15	3	5
ATXN7	ATXN7L2	15	15	3	5
ATXN7L2	ATXN7	15	15	3	5
AUH	ECHDC2	15	15	3	5
ECHDC2	AUH	15	15	3	5
AXIN1	AXIN2	15	15	3	5
AXIN2	AXIN1	15	15	3	5
B4GALT5	B4GALT6	15	15	3	5
B4GALT6	B4GALT5	15	15	3	5
BACH1	BACH2	15	15	3	5
BACH2	BACH1	15	15	3	5
BAG3	BAG4	15	15	3	5
BAG4	BAG3	15	15	3	5
BAIAP3	UNC13D	15	15	3	5
UNC13D	BAIAP3	15	15	3	5
PIK3AP1	BANK1	15	15	3	5
BANK1	PIK3AP1	15	15	3	5
BCOR	BCORL1	15	15	3	5
BCORL1	BCOR	15	15	3	5
TJAP1	BEGAIN	15	15	3	5
BEGAIN	TJAP1	15	15	3	5
BMI1	PCGF2	15	15	3	5
PCGF2	BMI1	15	15	3	5
BMPR1A	BMPR1B	15	15	3	5
BMPR1B	BMPR1A	15	15	3	5
BRD7	BRD9	15	15	3	5
BRD9	BRD7	15	15	3	5
BRMS1	BRMS1L	15	15	3	5
BRMS1L	BRMS1	15	15	3	5
BTBD2	BTBD1	15	15	3	5
