gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
SLC16A1	0.465732890664176	0.597505411583134	0.44288187989369	0.747000269475277	0.569569598153216	0.153095027379765	0.131772520918958	-0.177430671322061	0.8012115157253	0.396889209635777	FALSE	FALSE	None	None
MDM4	0.45635749698507	-0.543384866217499	0.0214962160848794	0.227409949704812	-0.974480370178975	0.015398227457982	-0.999742363202569	-1.20189031988379	0.243360831639828	0.14149932813347	FALSE	FALSE	None	None
APC	-0.593896879142229	-0.61436244884305	0.616516480356682	-0.458175879910142	-0.774730810218013	0.584766530670967	-0.0204655697008209	-0.316554930307871	0.868471845616605	0.777684431272411	FALSE	FALSE	None	None
CBFB	-0.0477294276232872	-0.664312825862152	0.141463386183846	-0.00300431946767229	-0.96829863467714	0.192257400605712	-0.616583398238865	-0.965294315209467	0.548949114939831	0.445950436743325	FALSE	FALSE	None	None
SMARCA2	0.61063218911987	0.351735090264042	0.392142272823701	0.387363043710769	0.280809809790315	0.418845831769773	-0.258897098855828	-0.106553233920454	0.770659728475475	0.666910653424386	FALSE	FALSE	None	None
TRA2A	-0.0607511963152067	-0.247733957719153	0.407115953422494	-0.442515399274397	-0.644666425103802	0.44549449953905	-0.186982761403947	-0.202151025829405	0.774877742907577	0.678691620285417	FALSE	FALSE	None	None
PAIP1	-0.178159161296667	0.00156257258338816	0.407115953422494	-0.313455989334091	-0.048194723626782	0.587992653723386	0.179721733880055	0.265261265707309	0.774877742907577	0.777684431272411	FALSE	FALSE	None	None
EIF4E	-2.91648927342754	-3.23279191085764	0.702790150419145	-3.39805015842519	-3.54088701197315	0.702628619041839	-0.316302637430098	-0.142836853547965	0.907696646943592	0.849249838457468	FALSE	FALSE	None	None
CREBBP	-1.16128640617507	-0.584628824136966	0.17640453069068	-1.42590760851892	-0.513312502013217	0.0411009713806887	0.576657582038108	0.912595106505698	0.581099262910576	0.205503307170161	FALSE	FALSE	None	None
MAPK1	-0.177533857944444	-0.817754299816342	0.0972042381615088	-0.444783664173713	-0.836659774503064	0.312308289276777	-0.640220441871898	-0.391876110329351	0.474110790084197	0.57179292131683	FALSE	FALSE	None	None
MDM2	-0.0317091778949972	-0.285927871043089	0.630998003515649	0.0392817087621395	-0.61175651411315	0.00823002368920477	-0.254218693148092	-0.651038222875289	0.876859838218819	0.110389665570421	FALSE	FALSE	None	None
ABHD12	-0.128651655647622	0.131986937031642	0.23817210115098	-0.142693700829088	-0.195403064866175	0.496208810936624	0.260638592679264	-0.0527093640370867	0.634782662678853	0.719531930312332	FALSE	FALSE	None	None
ABL1	-0.1588025919767	-0.411188297364876	0.725930771141294	-0.194676634471528	-1.12037316010343	0.0465538594876537	-0.252385705388176	-0.925696525631899	0.916886971943047	0.213723105443099	FALSE	FALSE	None	None
DMWD	-0.207485223676482	-0.497650200169033	0.451507948585235	-0.18476387535509	-0.978979027788011	0.0442487407864986	-0.290164976492552	-0.794215152432921	0.804268709664809	0.2098338827769	FALSE	FALSE	None	None
ACBD3	0.484685269341802	0.187134988300116	0.351411521948121	-0.0583117837314754	-0.26845801403395	0.37309905534244	-0.297550281041686	-0.210146230302475	0.746371459697042	0.621328251406978	FALSE	FALSE	None	None
ACSL1	0.196230613815115	0.036140064279401	0.878244652881427	-0.101283295339305	0.0544499981407574	0.95927643725843	-0.160090549535714	0.155733293480063	0.977235258481228	0.980734982250955	FALSE	FALSE	None	None
ACTR1A	-1.57015541576445	-1.36510069624683	0.649159202715765	-2.18713707584325	-1.55552201001581	0.320573094501838	0.205054719517622	0.631615065827439	0.892329695304874	0.575544856573508	FALSE	FALSE	None	None
ACVR2A	-0.479899490543744	0.0942037522442153	0.00996919164057078	-1.04574005175839	-0.0439264558280892	0.00329932118774824	0.57410324278796	1.00181359593031	0.164026433126191	0.0616873082678989	FALSE	FALSE	None	None
ADAMTS10	0.349151935961175	-0.0384841476462366	0.455184044167307	0.207878146534756	0.0942905943260131	0.975559196195001	-0.387636083607411	-0.113587552208743	0.804268709664809	0.989186563767158	FALSE	FALSE	None	None
ADAMTSL1	0.25577383202022	0.245673321971784	0.862160641566881	0.43794009385286	-0.0432108987115306	0.0172422873137515	-0.0101005100484356	-0.48115099256439	0.970717364683878	0.143763395575468	FALSE	FALSE	None	None
ADAP1	-0.066614152329049	-0.112858002625007	0.672394804548333	-0.230661409522323	-0.36826211204965	0.598817996995212	-0.0462438502959583	-0.137600702527327	0.899868063057665	0.783036357437069	FALSE	FALSE	None	None
