gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	time1_residual_logFC	time1_fdr	time1_significant	time1_response
SIN3B	-0.207974797346561	1.45090713112444	8.86689760919664e-08	1.658881928471	2.73543791243716e-05	TRUE	Suppressor
PMM2	-2.04293381151149	-0.518939653316401	0.00182993582073828	1.52399415819509	0.0714171472509411	FALSE	None
LARP1	-0.975959280783795	0.334460752107359	3.25972921997579e-06	1.31042003289115	0.000446945095272236	TRUE	Suppressor
NCOR1	0.111675094097266	1.3260061997163	3.25972921997579e-06	1.21433110561903	0.000446945095272236	TRUE	Suppressor
PPA2	-1.69676252242986	-0.573595129879278	0.151794565223489	1.12316739255058	0.55239550814804	FALSE	None
RIC8A	0.089891995239489	1.12136171629073	8.86689760919664e-08	1.03146972105124	2.73543791243716e-05	TRUE	Suppressor
GMFG	-1.17981382151986	-0.16128721098764	0.0522981322706766	1.01852661053222	0.384154836859687	FALSE	None
ROCK2	1.46383017292457	2.43431279754688	3.82801156988584e-08	0.970482624622313	2.73543791243716e-05	TRUE	Suppressor
PDS5A	-0.806357066173706	0.118340278086074	0.00020805795134217	0.92469734425978	0.0160464694972649	FALSE	None
RHOT2	-1.42927868040426	-0.605523711737058	0.035398029422578	0.823754968667206	0.310759204078622	FALSE	None
PPIB	-0.609501473423992	0.206079263021055	0.000606941928905475	0.815580736445047	0.0356650638223503	FALSE	None
KMT2B	-0.64362382731185	0.167500182789636	3.79843691344401e-05	0.811124010101486	0.00426115559199082	TRUE	Suppressor
GNA12	0.168284049119549	0.958662575577746	0.00364480475749574	0.790378526458197	0.102220206153403	FALSE	None
FAM161A	-0.297763465657185	0.469054489211881	0.0187250763063761	0.766817954869066	0.232058600994322	FALSE	None
MARCH2	0.164606778897975	0.925072483794399	0.223331651880894	0.760465704896424	0.623293380086785	FALSE	None
NRBP1	-0.0326036823865345	0.694061312776961	0.0153188676788064	0.726664995163496	0.205472638213556	FALSE	None
TRA2B	-2.252896484738	-1.53637879161243	0.0111749029154075	0.71651769312557	0.176499239590719	FALSE	None
ANXA6	-0.452129408414462	0.257606545347085	0.0127812292069938	0.709735953761547	0.187762343350362	FALSE	None
LIMK2	0.133394366446672	0.84193053180306	0.0039124858701399	0.708536165356388	0.102723565186226	FALSE	None
SAMD4B	-0.909497856344219	-0.209104376751552	0.0908640429678121	0.700393479592668	0.469147401766863	FALSE	None
CCDC102A	-0.810521991599017	-0.142374253125873	0.0649635332380803	0.668147738473144	0.411102564183544	FALSE	None
GATAD2A	-0.735515966852581	-0.0809203107450661	0.145803667531215	0.654595656107515	0.55239550814804	FALSE	None
OTX2	-0.0821416419332933	0.571250778741634	0.00148898952399257	0.653392420674928	0.0656218954502438	FALSE	None
SAP30	-0.387931377716875	0.245239955477871	0.00112202972898718	0.633171333194746	0.0601993341552253	FALSE	None
HNRNPF	-0.28247335469432	0.330161652514237	0.0055303422025576	0.612635007208557	0.121865040677787	FALSE	None
CREBBP	-1.16128640617507	-0.584628824136966	0.17640453069068	0.576657582038108	0.581099262910576	FALSE	None
ACVR2A	-0.479899490543744	0.0942037522442153	0.00996919164057078	0.57410324278796	0.164026433126191	FALSE	None
PLCL2	0.190069498764821	0.757795718435912	0.00877764456638811	0.567726219671092	0.159288432278278	FALSE	None
