gene	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time2_residual_logFC	time2_fdr	time2_significant	time2_response
NCOR1	0.0774364610848796	2.44963904543027	3.82801156988584e-08	2.37220258434539	2.36188313861956e-05	TRUE	Suppressor
SIN3B	-0.0874793875929882	2.09269435689087	1.12908656276626e-06	2.18017374448386	0.000228227217015106	TRUE	Suppressor
PDS5A	-1.72164399766491	0.36529839379933	1.75723549436007e-05	2.08694239146425	0.00144561906669355	TRUE	Suppressor
LARP1	-1.72034262353152	0.308789837689726	4.1735783322881e-07	2.02913246122124	0.00010300391324087	TRUE	Suppressor
PMM2	-3.11123208699787	-1.2343786485367	0.00988265696973604	1.87685343846118	0.117161737947279	FALSE	None
PKN2	-1.24292769435118	0.234333868792644	0.000360683026982606	1.47726156314382	0.016484550196168	FALSE	None
RIC8A	-0.367095986490713	0.974312706071263	1.43577738225134e-07	1.34140869256198	4.42937322424539e-05	TRUE	Suppressor
ROCK2	1.75522051608587	2.96368569091547	1.29464385664971e-06	1.20846517482961	0.000228227217015106	TRUE	Suppressor
SAP30	-0.618351046190751	0.589492599100318	5.21594606696774e-05	1.20784364529107	0.00378616320390482	TRUE	Suppressor
KMT2B	-1.2725099973795	-0.0750978372972708	1.39819746121569e-05	1.19741216008223	0.00132721205164627	TRUE	Suppressor
SAMD4B	-1.68508157324123	-0.51987682986668	0.0319693911885112	1.16520474337455	0.185212341439544	FALSE	None
HNRNPF	-0.804615708799924	0.287775614393523	0.00272968530117888	1.09239132319345	0.0534671692326149	FALSE	None
SEC11A	-1.51353249105724	-0.473264312797978	0.096920060409118	1.04026817825926	0.315657973398163	FALSE	None
GNA13	-1.13680130738559	-0.115996069241501	0.0192208246326466	1.02080523814409	0.151278708243134	FALSE	None
PPIB	-0.850801512212202	0.156367971884064	0.00450076718289809	1.00716948409627	0.0760814616944691	FALSE	None
ACVR2A	-1.04574005175839	-0.0439264558280892	0.00329932118774824	1.00181359593031	0.0616873082678989	FALSE	None
MTSS1L	-0.615164695329295	0.383634550722685	0.0702765427262552	0.99879924605198	0.26942833390779	FALSE	None
KDM2A	-0.647682889163023	0.326357695980168	0.0372839207451516	0.974040585143191	0.19563973897176	FALSE	None
LIMK2	0.136517625164122	1.07688158874561	0.000359831202654018	0.940363963581488	0.016484550196168	FALSE	None
NRBP1	-0.281585135920667	0.633882901477712	0.115306510260875	0.915468037398379	0.349602539709876	FALSE	None
RHOT2	-1.77928417172671	-0.864267861288112	0.0259120689231707	0.915016310438602	0.169393444835549	FALSE	None
CREBBP	-1.42590760851892	-0.513312502013217	0.0411009713806887	0.912595106505698	0.205503307170161	FALSE	None
SIN3A	-2.00793554851878	-1.09877277719491	0.0229797647697574	0.909162771323877	0.161662502728832	FALSE	None
GATAD2B	-0.298023399519379	0.531455680144402	0.0186288291680411	0.829479079663781	0.148309517376533	FALSE	None
TRA2B	-3.04504654808223	-2.21795400565901	0.0336607416607277	0.827092542423216	0.190661817961707	FALSE	None
PIK3CB	-1.53570715376341	-0.708964029796565	0.26108427803952	0.82674312396684	0.521783251128674	FALSE	None
CCDC102A	-1.26679802344037	-0.457669644270474	0.0969019321492445	0.809128379169893	0.315657973398163	FALSE	None
ARHGEF12	0.202619392813083	0.999164456232568	0.00160952945595772	0.796545063419485	0.0405338642582005	FALSE	None
SCRIB	0.270051310736624	1.03944915348367	0.059173367730682	0.769397842747044	0.241787866820072	FALSE	None
PACS2	-0.346114089915398	0.403926533077231	0.0890301957343457	0.750040622992629	0.299354936065893	FALSE	None
OTUB1	-0.624670080001693	0.121591920304858	0.171858769786247	0.746262000306551	0.421617737408008	FALSE	None
THRB	0.100174964788272	0.843366591369084	0.00241356753219782	0.743191626580812	0.0509510441469316	FALSE	None
GNA12	0.144553247693996	0.885272723941401	0.110554262046589	0.740719476247405	0.341059898413728	FALSE	None
ATG4B	-0.364858728302006	0.358048904395119	0.0464943733265967	0.722907632697124	0.213723105443099	FALSE	None
POC1B	-0.687904667823145	0.0275980681952346	0.288000675639392	0.715502736018379	0.543908153327459	FALSE	None
GMFG	-1.34244378201702	-0.631354969717072	0.121392280832003	0.711088812299944	0.357864980965517	FALSE	None
FUBP3	-0.893623091437662	-0.190156070530873	0.109651699092328	0.703467020906789	0.341059898413728	FALSE	None
RAVER1	-0.332132010528376	0.36565107843168	0.0112993840580768	0.697783088960056	0.121247303718842	FALSE	None
SFXN4	-0.486354921422061	0.210959076167491	0.0391524479753021	0.697313997589552	0.200121086975991	FALSE	None
IL16	-0.0345376638635524	0.651372697793182	0.0890301957343457	0.685910361656734	0.299354936065893	FALSE	None
ZFR	-0.632065189406001	0.0506624157307643	0.116705074667028	0.682727605136766	0.351533508497287	FALSE	None
TMEM59L	-0.205137385642623	0.4669450242108	0.18351705908353	0.672082409853423	0.437144189188073	FALSE	None
CHD1	-0.453047801626265	0.213333165961943	0.000557233513491027	0.666380967588207	0.0202242986955273	FALSE	None
MSI2	0.279124484900106	0.92954584834805	0.0064421730540656	0.650421363447944	0.0957788138399633	FALSE	None
SPOP	-0.504764492106703	0.139729490496321	0.130510373356381	0.644493982603024	0.36354356822071	FALSE	None
BMPR1A	-0.922897498927331	-0.285759712066685	0.125281743741575	0.637137786860645	0.357864980965517	FALSE	None
CRABP1	-0.721459021025276	-0.0844314272064672	0.239598636622868	0.637027593818809	0.49985932284854	FALSE	None
ACTR1A	-2.18713707584325	-1.55552201001581	0.320573094501838	0.631615065827439	0.575544856573508	FALSE	None
TIAL1	0.701185556730954	1.33092776360159	0.0930466180219924	0.629742206870636	0.307827149166591	FALSE	None
STK38L	-0.270408893295392	0.359210938742025	0.121635551851917	0.629619832037417	0.357864980965517	FALSE	None
ENSA	-0.162486074896986	0.458603059201585	0.142815121458187	0.621089134098572	0.384790087072933	FALSE	None
FAM160B2	-0.238296527708689	0.37664916961204	0.23817210115098	0.614945697320729	0.49985932284854	FALSE	None
PHACTR4	-0.812379675855682	-0.204801640264118	0.246506703044604	0.607578035591564	0.505297793284121	FALSE	None
SMAD6	-1.11467039431704	-0.51106026380663	0.18974211965529	0.603610130510406	0.444072960783963	FALSE	None
RARA	-0.786505569030055	-0.198166721312865	0.260540154536949	0.58833884771719	0.521783251128674	FALSE	None
APBA3	-0.16395519325138	0.417867729407829	0.620586386612735	0.581822922659209	0.791240336018462	FALSE	None
ENOX1	-0.19577041086667	0.375754046554655	0.480345250423796	0.571524457421325	0.712435143056448	FALSE	None
SFXN1	-0.626582243772303	-0.0568047461343127	0.0181966957492312	0.569777497637991	0.146472669588975	FALSE	None
ANKRD11	-0.411248106939371	0.157026365922318	0.0972042381615088	0.56827447286169	0.315657973398163	FALSE	None
ANXA6	-0.351001599661193	0.216155754143302	0.0777977717618994	0.567157353804495	0.277554128289913	FALSE	None
KDM2B	-0.040236507174385	0.519023236810979	0.222093193036212	0.559259743985364	0.480812281064361	FALSE	None
IGF2BP1	-0.880043587536183	-0.322049913703225	0.0743157352487539	0.557993673832958	0.272180428174159	FALSE	None
SEC31A	-0.118043091889213	0.420169963320637	0.230034676422471	0.53821305520985	0.493674418617964	FALSE	None
POC1A	-1.17376491516148	-0.63919865765568	0.1375924477402	0.534566257505804	0.378266804826531	FALSE	None
MBD2	0.258195566366957	0.786136105900092	0.362155524599257	0.527940539533134	0.61219166761025	FALSE	None
TCIRG1	-0.827945815028816	-0.302154824223969	0.519439475094657	0.525790990804847	0.737616009513012	FALSE	None
ROCK1	0.819154780632383	1.34244024556017	0.000718634256850065	0.52328546492779	0.0239674235933238	FALSE	None
AGPAT4	0.0991242666618545	0.62072611483781	0.110554262046589	0.521601848175955	0.341059898413728	FALSE	None
BMI1	0.318345412666095	0.827953883083754	0.141463386183846	0.509608470417659	0.383661139672234	FALSE	None
ADAMTSL3	-0.117313426234346	0.384852451775172	0.170194483186693	0.502165878009518	0.421617737408008	FALSE	None
MAP3K3	-0.158946740206422	0.333064879090668	0.351411521948121	0.49201161929709	0.603957963905266	FALSE	None
SP3	0.313434844966758	0.804271044703694	0.0153188676788064	0.490836199736936	0.14149932813347	FALSE	None
MAP3K2	-0.316606572382581	0.172138929114099	0.260851214212985	0.48874550149668	0.521783251128674	FALSE	None
INPP4A	1.23247942548092	1.71598672439004	0.0229797647697574	0.483507298909122	0.161662502728832	FALSE	None
BMPR1B	-1.11995176616698	-0.639508476285113	0.37309905534244	0.480443289881867	0.621328251406978	FALSE	None
CORO2B	-0.732320654847208	-0.273755452811647	0.556717631647187	0.458565202035561	0.765874645989553	FALSE	None
PHF20	-1.24691482154395	-0.790491836579978	0.0550922086121938	0.456422984963967	0.23251372500616	FALSE	None
PPA2	-2.28912883948931	-1.83487252329967	0.620519949787981	0.454256316189633	0.791240336018462	FALSE	None
PAIP2	-0.16790180698261	0.284821145195853	0.263771716716047	0.452722952178463	0.524145408095977	FALSE	None
OTX2	-0.0604074279331949	0.390505906881769	0.0459206839409298	0.450913334814964	0.213723105443099	FALSE	None
CCNL1	-1.31651994170254	-0.874047463975917	0.556653358129457	0.44247247772662	0.765874645989553	FALSE	None
RABEP2	-1.52522205836955	-1.08979623050916	0.483094163797088	0.435425827860394	0.714794002548689	FALSE	None
XYLT2	-1.45121834560433	-1.01976748229384	0.243758728645927	0.431450863310488	0.505119269806201	FALSE	None
EP300	0.22235063314185	0.652126896884956	0.392103721634892	0.429776263743105	0.643425521938108	FALSE	None
PLCB3	-0.309889211292296	0.118011100817174	0.320383948878672	0.42790031210947	0.575544856573508	FALSE	None
LSM14A	-0.145020272951613	0.274380883495639	0.170194483186693	0.419401156447253	0.421617737408008	FALSE	None
MCL1	-2.31743309136052	-1.90242936999957	0.591771216341	0.415003721360949	0.777684431272411	FALSE	None
RABGAP1L	-2.08237555541522	-1.67137503879356	0.444814055045621	0.411000516621667	0.678691620285417	FALSE	None
CCNYL1	-0.043572760744177	0.366677621674566	0.519439475094657	0.410250382418743	0.737616009513012	FALSE	None
WTIP	-0.683361603996614	-0.279836469441625	0.54295815746655	0.403525134554989	0.756265122247682	FALSE	None
AP1G1	-0.664139206220953	-0.263050173109066	0.208402783426681	0.401089033111887	0.466731460523637	FALSE	None
TET1	-0.426798424372728	-0.0269364889643821	0.214346278801561	0.399861935408346	0.472327335787726	FALSE	None
PSMA8	0.0907547833150797	0.487690917828308	0.330525181861556	0.396936134513228	0.583502252385064	FALSE	None
ELAVL1	-0.215620884301001	0.177170227281195	0.252448763887286	0.392791111582195	0.514912024193242	FALSE	None
