gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
SLC16A1	24	24	24	24
MDM4	24	24	24	24
APC	24	24	24	24
CBFB	24	24	24	24
SMARCA2	24	24	24	24
TRA2A	24	24	24	24
PAIP1	24	24	24	24
EIF4E	24	24	24	24
CREBBP	24	24	24	24
MAPK1	24	24	24	24
MDM2	24	24	24	24
ABHD12	24	24	24	24
ABL1	24	24	24	24
DMWD	24	24	24	24
ACBD3	24	24	24	24
ACSL1	24	24	24	24
ACTR1A	24	24	24	24
ACVR2A	24	24	24	24
ADAMTS10	24	24	24	24
ADAMTSL1	24	24	24	24
ADAP1	24	24	24	24
AGPAT3	24	24	24	24
AHCYL1	24	24	24	24
AHNAK	24	24	24	24
AHSA1	24	24	24	24
AJUBA	24	24	24	24
AK1	24	24	24	24
ALMS1	24	24	24	24
AMOT	24	24	24	24
ANK2	24	24	24	24
ANKRD11	24	24	24	24
ANO4	24	24	24	24
ANXA5	24	24	24	24
AP1B1	24	24	24	24
AP1G1	24	24	24	24
AP2A1	24	24	24	24
AP3B1	24	24	24	24
APBA2	24	24	24	24
APBB2	24	24	24	24
APH1A	24	24	24	24
APLP1	24	24	24	24
ARAP2	24	24	24	24
ARF4	24	24	24	24
ARFGEF1	24	24	24	24
ARHGAP22	24	24	24	24
ARHGAP31	24	24	24	24
ARHGEF1	24	24	24	24
ARHGEF6	24	24	24	24
ARHGEF37	24	24	24	24
ARID1A	24	24	24	24
ARL8A	24	24	24	24
ARNT	24	24	24	24
ARPC5	24	24	24	24
ATAD2	24	24	24	24
ATF3	24	24	24	24
ATF6	24	24	24	24
ATG4A	24	24	24	24
ATG4C	24	24	24	24
ATG16L1	24	24	24	24
ATP6V0A1	24	24	24	24
ATP6V0A2	24	24	24	24
ATP6V1C1	24	24	24	24
ATP8A1	24	24	24	24
ATP9A	24	24	24	24
ATRN	24	24	24	24
ATXN1	24	24	24	24
ATXN7	24	24	24	24
AUH	24	24	24	24
AXIN1	24	24	24	24
B4GALT5	24	24	24	24
BACH1	24	24	24	24
BAG3	24	24	24	24
BAIAP3	24	24	24	24
BANK1	24	24	24	24
BCOR	24	24	24	24
BEGAIN	24	24	24	24
BMI1	24	24	24	24
BMPR1A	24	24	24	24
BRD7	24	24	24	24
BRMS1	24	24	24	24
BTBD1	24	24	24	24
BTBD3	24	24	24	24
BTBD10	24	24	24	24
BTRC	24	24	24	24
CAB39	24	24	24	24
CALB1	24	24	24	24
CAMKK1	24	24	24	24
CAND1	24	24	24	24
CANX	24	24	24	24
CAPRIN1	24	24	24	24
CASKIN1	24	24	24	24
CASP3	24	24	24	24
CC2D1A	24	24	24	24
CCDC102A	24	24	24	24
CCNA1	24	24	24	24
CCNB1	24	24	24	24
CCND1	24	24	24	24
CCNG1	24	24	24	24
CCNJ	24	24	24	24
CCNL1	24	24	24	24
CCNT1	24	24	24	24
CCNY	24	24	24	24
CD151	24	24	24	24
CDK12	24	24	24	24
CDK14	24	24	24	24
CDKL2	24	24	24	24
CEP85	24	24	24	24
CERS5	24	24	24	24
CHCHD3	24	24	24	24
CHD1	24	24	24	24
CHD3	24	24	24	24
CHIC1	24	24	24	24
CHMP4A	24	24	24	24
CHPF	24	24	24	24
CHSY1	24	24	24	24
CLCN3	24	24	24	24
CLIP1	24	24	24	24
CLOCK	24	24	24	24
CNKSR1	24	24	24	24
CNOT7	24	24	24	24
COMP	24	24	24	24
COPG1	24	24	24	24
COQ10A	24	24	24	24
CORO2A	24	24	24	24
CRABP1	24	24	24	24
CRELD1	24	24	24	24
CSAD	24	24	24	24
CSNK1D	24	24	24	24
RAVER1	24	24	24	24
CUL4A	24	24	24	24
CUX1	24	24	24	24
CYB5A	24	24	24	24
DAAM1	24	24	24	24
DAB1	24	24	24	24
DACH1	24	24	24	24
DCHS1	24	24	24	24
DDHD2	24	24	24	24
DDR1	24	24	24	24
DENND6A	24	24	24	24
DERL2	24	24	24	24
DHX32	24	24	24	24
DHX58	24	24	24	24
DIP2A	24	24	24	24
DLG1	24	24	24	24
DLG2	24	24	24	24
DMRTA1	24	24	24	24
DNAH11	24	24	24	24
DNAJC15	24	24	24	24
DOCK3	24	24	24	24
DOK1	24	24	24	24
DOPEY1	24	24	24	24
DST	24	24	24	24
DUSP15	24	24	24	24
DUSP16	24	24	24	24
DVL1	24	24	24	24
DYRK2	24	24	24	24
E2F7	24	24	24	24
EBF1	24	24	24	24
EEF1A1	24	24	24	24
EFHD1	24	24	24	24
EGR2	24	24	24	24
EHBP1	24	24	24	24
EIF4A1	24	24	24	24
EIF4G1	24	24	24	24
ELAVL1	24	24	24	24
ELK3	24	24	24	24
ELMO2	24	24	24	24
ELMOD1	24	24	24	24
ELOVL1	24	24	24	24
EMC8	24	24	24	24
EME1	24	24	24	24
EMX1	24	24	24	24
