gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	hap1_time2_observed_logFC	torin_time2_observed_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_significant	time2_significant	time1_response	time2_response
RPL4	-2.64354788297551	-1.79607263346269	0.177598187951396	-3.33693366890769	-2.77233185728155	0.319236664538195	0.847475249512819	0.564601811626137	0.802253883504583	0.739221749424212	FALSE	FALSE	None	None
GAPDH	-3.59504115321195	-4.52530929662794	0.0332209686041246	-3.64472095654966	-4.36365118390039	0.155910064540125	-0.930268143415987	-0.718930227350731	0.468671203230497	0.588923174726702	FALSE	FALSE	None	None
RPLP0	-1.85869467231819	-2.35627751950625	0.269660571155544	-1.82863162615006	-2.06980625015904	0.692214871717041	-0.497582847188055	-0.241174624008984	0.874298588848566	0.919808997399758	FALSE	FALSE	None	None
EEF2	-2.07263646396151	-2.5028547494923	0.489644795127166	-2.52679681040633	-2.72953297549801	0.73718886517522	-0.430218285530792	-0.202736165091675	0.951315759197567	0.932423836409317	FALSE	FALSE	None	None
HSPA8	-2.17693557949494	-2.39782116890481	0.851590975789005	-2.60813025258227	-3.15821550253686	0.440065672062478	-0.220885589409877	-0.550085249954592	0.992235605014543	0.806337476338794	FALSE	FALSE	None	None
PKM	-1.64836695174922	-1.65142795249266	0.933783456267292	-1.75739354415247	-2.17441968337734	0.851901467807667	-0.00306100074343996	-0.417026139224877	0.992235605014543	0.96852043373308	FALSE	FALSE	None	None
HNRNPA2B1	-1.01490359984891	-1.79182859062497	0.0848419260807547	-1.80746880215999	-1.97954904927227	0.235272070825511	-0.776924990776062	-0.172080247112287	0.651207061555036	0.660320165727731	FALSE	FALSE	None	None
RPS2	-2.1007928845648	-1.91814191648355	0.693096250203193	-2.83924496985901	-2.13916202030394	0.403100273050972	0.182650968081257	0.700082949555077	0.982550374826096	0.793429686270792	FALSE	FALSE	None	None
NPM1	-1.32060737234403	-0.6315569086473	0.183725932677853	-1.46124070216597	-0.536597363060235	0.157073166795291	0.689050463696731	0.924643339105731	0.806978966572197	0.588923174726702	FALSE	FALSE	None	None
NCL	-1.5293337071975	-1.04272801453099	0.187268401403014	-2.06249872126133	-1.39951366238335	0.267097024243296	0.48660569266651	0.662985058877981	0.806978966572197	0.69071621892584	FALSE	FALSE	None	None
