gene	hap1_time1_observed_logFC	torin_time1_observed_logFC	time1_pval	time1_residual_logFC	time1_fdr	time1_significant	time1_response
EED	-1.13510358375068	2.15616955198912	5.15738003031508e-08	3.2912731357398	7.88219581299821e-05	TRUE	Suppressor
MBTPS1	-3.00937164004792	0.156157047071467	5.15738003031508e-08	3.16552868711939	7.88219581299821e-05	TRUE	Suppressor
DPH5	-1.83666873244182	0.92530717417641	5.15738003031508e-08	2.76197590661823	7.88219581299821e-05	TRUE	Suppressor
COQ5	-3.86149647887007	-1.16594645826198	2.65476137060469e-05	2.69555002060809	0.00811472058948166	TRUE	Suppressor
FOXRED1	-2.69799716739342	-0.239969943334822	2.32413143478162e-05	2.4580272240586	0.00761153044890979	TRUE	Suppressor
EZH2	0.165288823269041	2.46927533755264	0.000834090178852782	2.3039865142836	0.0889410632157886	FALSE	None
NDUFB6	-2.52486300228829	-0.418110515032651	0.00196295041333822	2.10675248725564	0.140626994455559	FALSE	None
NDUFB10	-3.61189107628273	-1.56682596445231	6.82407794463809e-05	2.04506511183043	0.0171842240033641	FALSE	None
CARS2	-2.38727355126906	-0.344721301976741	0.00426618476107663	2.04255224929232	0.21032749601652	FALSE	None
ASNS	-2.41382063301028	-0.462995188643704	0.000394049621216224	1.95082544436657	0.0475451977177996	FALSE	None
BTAF1	-1.19995408053215	0.722707039684545	6.54987263850015e-06	1.9226611202167	0.0037538957559404	TRUE	Suppressor
NHLRC2	-1.12733870497983	0.686283106013948	5.61896554302828e-05	1.81362181099378	0.0151546805969322	FALSE	None
POLG	-2.94906475516956	-1.20304885336609	0.0151334115749651	1.74601590180347	0.360071375673891	FALSE	None
GSK3A	0.062264680841064	1.79034013011136	0.00380350294111913	1.7280754492703	0.207607868869419	FALSE	None
MTF2	0.201654896381568	1.92201025418887	2.04103314699719e-05	1.7203553578073	0.00719856690690933	TRUE	Suppressor
HDAC3	-0.857066782667025	0.862686954774784	4.80925687826881e-06	1.71975373744181	0.00315006325526607	TRUE	Suppressor
PPP2R2A	-0.965576917604355	0.738726860328918	8.63861155077776e-07	1.70430377793327	0.00079216067920632	TRUE	Suppressor
LRPPRC	-3.39826762857231	-1.69601494211202	0.000834125565600635	1.7022526864603	0.0889410632157886	FALSE	None
GPI	-2.78893191415403	-1.10819568958859	0.00192076939991656	1.68073622456544	0.140626994455559	FALSE	None
ZNF281	-0.887754982661486	0.783838133674009	0.00952347529031665	1.6715931163355	0.301840412353163	FALSE	None
DPH2	-0.709487342129781	0.951086034283824	2.44975551439966e-07	1.6605733764136	0.000280803225838061	TRUE	Suppressor
MRM3	-2.21791907583701	-0.589871954953465	0.00987482265059421	1.62804712088355	0.301840412353163	FALSE	None
GSK3B	0.808621854587652	2.41421019337581	0.0186382528324306	1.60558833878816	0.369941078946728	FALSE	None
NFU1	-2.07253962826305	-0.489676369606182	0.00570350789517522	1.58286325865687	0.235590844138544	FALSE	None
