gene	hap1_time1_n_observed	hap1_time2_n_observed	torin_time1_n_observed	torin_time2_n_observed
RPL4	15	15	15	15
GAPDH	15	15	15	15
RPLP0	15	15	15	15
EEF2	15	15	15	15
HSPA8	15	15	15	15
PKM	15	15	15	15
HNRNPA2B1	15	15	15	15
RPS2	15	15	15	15
NPM1	15	15	15	15
NCL	15	15	15	15
RPL7A	15	15	15	15
RPS6	15	15	15	15
TPT1	15	15	15	15
RPSA	15	15	15	15
RPL5	15	15	15	15
RACK1	15	15	15	15
RPL19	15	15	15	15
RPS3	15	15	15	15
RPS23	15	15	15	15
PEG10	15	15	15	15
ATP5B	15	15	15	15
NONO	15	15	15	15
HNRNPC	15	15	15	15
PGK1	15	15	15	15
RPS11	15	15	15	15
EIF4G2	15	15	15	15
RPL11	15	15	15	15
FLNA	15	15	15	15
RPS14	15	15	15	15
HNRNPK	15	15	15	15
RPS12	15	15	15	15
RPL23A	15	15	15	15
RAN	15	15	15	15
RPL7	15	15	15	15
RPL15	15	15	15	15
HNRNPA3	15	15	15	15
RPL23	15	15	15	15
NACA	15	15	15	15
RPL30	15	15	15	15
RPL37	15	15	15	15
HNRNPU	15	15	15	15
DDX5	15	15	15	15
HMGN2	15	15	15	15
RPS19	15	15	15	15
ATP5A1	15	15	15	15
RPL31	15	15	15	15
RPL12	15	15	15	15
HNRNPH1	15	15	15	15
KPNB1	15	15	15	15
RBM3	15	15	15	15
TUBA1C	15	15	15	15
CCT5	15	15	15	15
HSP90B1	15	15	15	15
ITM2A	15	15	15	15
NUCKS1	15	15	15	15
NAP1L1	15	15	15	15
HNRNPD	15	15	15	15
FUS	15	15	15	15
CCT3	15	15	15	15
MORF4L1	15	15	15	15
RPS13	15	15	15	15
CFL1	15	15	15	15
SFPQ	15	15	15	15
PRDX1	15	15	15	15
HNRNPDL	15	15	15	15
HMGB2	15	15	15	15
RBMX	15	15	15	15
ANXA2	15	15	15	15
PAICS	15	15	15	15
ANP32A	15	15	15	15
ILF3	15	15	15	15
PRPF8	15	15	15	15
RPL28	15	15	15	15
HSPA9	15	15	15	15
IPO5	15	15	15	15
BTF3	15	15	15	15
RPS21	15	15	15	15
DDX17	15	15	15	15
DDX3X	15	15	15	15
PTGES3	15	15	15	15
XRCC5	15	15	15	15
TCP1	15	15	15	15
CCT7	15	15	15	15
CALR	15	15	15	15
HNRNPM	15	15	15	15
PRKDC	15	15	15	15
CSDE1	15	15	15	15
EIF2S3	15	15	15	15
SNRNP200	15	15	15	15
SLC25A3	15	15	15	15
FASN	15	15	15	15
TKT	15	15	15	15
CNBP	15	15	15	15
MCM7	15	15	15	15
VIM	15	15	15	15
EWSR1	15	15	15	15
KPNA2	15	15	15	15
CCT6A	15	15	15	15
NASP	15	15	15	15
TRIM28	15	15	15	15
SSRP1	15	15	15	15
SRSF3	15	15	15	15
MORF4L2	15	15	15	15
ODC1	15	15	15	15
RHOA	15	15	15	15
HDLBP	15	15	15	15
PSMA4	15	15	15	15
SMC1A	15	15	15	15
ANP32B	15	15	15	15
SEPT2	15	15	15	15
VCP	15	15	15	15
XPO1	15	15	15	15
HUWE1	15	15	15	15
CCT2	15	15	15	15
MCM4	15	15	15	15
C1QBP	15	15	15	15
