gene1	gene2	time1_expected_logFC1	time1_expected_logFC2	time1_observed_logFC1	time1_observed_logFC2	time1_fdr1	time1_fdr2	time1_gi1	time1_gi2	time2_expected_logFC1	time2_expected_logFC2	time2_observed_logFC1	time2_observed_logFC2	time2_fdr1	time2_fdr2	time2_gi1	time2_gi2	time1_mean_expected_logFC	time1_mean_observed_logFC	time2_mean_expected_logFC	time2_mean_observed_logFC	time1_both_gi	time2_both_gi
SLC16A1	SLC16A3	0.729306871551909	0.160453784040842	0.355293577469848	0.0795663501088946	0.597942482345923	0.984590385665247	FALSE	FALSE	1.16383590271982	-1.09657063090808	-0.722113779991699	-1.11708298243479	0.00276566673117248	0.855630469864005	TRUE	FALSE	0.444880327796375	0.217429963789371	0.03363263590587	-0.919598381213245	FALSE	FALSE
MDM4	TP53	0.301349014378251	-0.0304929456205139	-0.267350995036935	0.0232822378146359	0.573740212946428	0.758187483041529	FALSE	FALSE	-0.233018207799577	-0.85959471039405	-0.517228507467914	-0.182215705246008	0.934103750175561	0.676998885610801	FALSE	FALSE	0.135428034378869	-0.12203437861115	-0.546306459096814	-0.349722106356961	FALSE	FALSE
APC	CTNNB1	-0.441575567467001	-0.203350163998876	-0.0111535510148663	0.0141222184005688	0.363442530241299	0.331209923304045	FALSE	FALSE	-0.263422894227636	-0.825359773996895	-0.374802902561036	-0.266536200686718	0.943607971485476	0.455421939725868	FALSE	FALSE	-0.322462865732938	0.00148433369285125	-0.544391334112265	-0.320669551623877	FALSE	FALSE
MAP2K1	BRAF	-0.0735348818001309	-0.244645439588622	-0.136025861180956	-0.605890111355528	0.962877835104064	0.321220487350633	FALSE	FALSE	0.284314669273445	-0.813232510061174	-0.232745859027765	-1.52761663330317	0.272988145162611	0.325630648322828	FALSE	FALSE	-0.159090160694376	-0.370957986268242	-0.264458920393865	-0.880181246165467	FALSE	FALSE
CDK2	CCNE1	-1.68919236686581	-0.561015394766517	-1.39529834032783	-1.22622843468756	0.597339513859675	0.0351781639644772	FALSE	TRUE	-3.24540579278679	-1.29346551375962	-2.21567948676581	-1.80758672214211	0.00902277936041484	0.313356545783279	TRUE	FALSE	-1.12510388081616	-1.31076338750769	-2.2694356532732	-2.01163310445396	FALSE	FALSE
PEA15	BRAF	0.224732221541954	0.0791956143009652	-0.310323748504266	-0.473072216096828	0.0837843913361695	0.309208532147732	TRUE	FALSE	0.180705711833334	-0.716996148773242	-0.533423518282158	-0.752728033095207	0.0369358043674116	1	TRUE	FALSE	0.15196391792146	-0.391697982300547	-0.268145218469954	-0.643075775688682	FALSE	FALSE
CBFB	RUNX1	-2.20780845572575	-0.172085084286585	-0.472117551890803	-0.103197719610972	0.000830387136284405	0.692233946332596	TRUE	FALSE	-2.34497406342996	-0.386357818444076	-0.515230548887066	-0.327630831494676	0.0165296135901777	0.943607971485476	TRUE	FALSE	-1.18994677000617	-0.287657635750887	-1.36566594093702	-0.421430690190871	FALSE	FALSE
SMARCA2	SMARCA4	-1.88662804208739	1.26765602519065	-1.42528212010868	0.32783445777546	0.64349799538589	0.0640569581693785	FALSE	TRUE	-2.58075373299645	1.42877507787298	-1.50458083316074	0.553845761951538	0.366545263628089	0.139551331451323	FALSE	FALSE	-0.30948600844837	-0.54872383116661	-0.575989327561735	-0.475367535604601	FALSE	FALSE
KDM4C	BRD4	-0.0891389634419204	1.46402213998833	0.30138011630057	0.147121963131724	0.750380103055379	0.0599632462550559	FALSE	TRUE	-0.57954938326889	1.69773501852995	0.643993700487381	0.249651935284364	0.139551331451323	0.0924564573090312	FALSE	TRUE	0.687441588273205	0.224251039716147	0.55909281763053	0.446822817885873	FALSE	FALSE
KDM6B	BRD4	0.660917624781329	0.14041026871996	0.214694928624269	-0.0316874190139907	0.363966582353935	0.884075919601081	FALSE	FALSE	1.28539199936826	0.287402356989116	0.728286294079843	-0.0838069968957705	0.82875816682874	0.64988298044585	FALSE	FALSE	0.400663946750644	0.0915037548051392	0.786397178178688	0.322239648592036	FALSE	FALSE
SRRM1	SRRM2	-2.89531179107014	-1.52585109891243	-2.20784959049437	-1.47920923098436	0.506828845052192	0.862605384447289	FALSE	FALSE	-3.25754533226952	-2.32118778073612	-2.52701829607676	-1.80274343602613	0.607528505405015	0.910239505012201	FALSE	FALSE	-2.21058144499129	-1.84352941073936	-2.78936655650282	-2.16488086605144	FALSE	FALSE
