gene1	gene2	time1_observed_logFC	time1_expected_logFC	time1_pval	time2_observed_logFC	time2_expected_logFC	time2_pval	time1_residual_logFC	time2_residual_logFC	time1_fdr	time2_fdr	time1_is_gi	time2_is_gi
SLC16A1	SLC16A3	0.355293577469848	0.729306871551909	0.436289427525659	-0.722113779991699	1.16383590271982	0.000215062747264139	-0.374013294082061	-1.88594968271152	0.597942482345923	0.00276566673117248	FALSE	TRUE
SLC16A3	SLC16A1	0.0795663501088946	0.160453784040842	0.967417297543179	-1.11708298243479	-1.09657063090808	0.743702065375981	-0.0808874339319478	-0.0205123515267114	0.984590385665247	0.855630469864005	FALSE	FALSE
MDM4	TP53	-0.267350995036935	0.301349014378251	0.410479916937008	-0.517228507467914	-0.233018207799577	0.877079974728797	-0.568700009415186	-0.284210299668337	0.573740212946428	0.934103750175561	FALSE	FALSE
TP53	MDM4	0.0232822378146359	-0.0304929456205139	0.625394471840214	-0.182215705246008	-0.85959471039405	0.496925054118393	0.0537751834351498	0.677379005148043	0.758187483041529	0.676998885610801	FALSE	FALSE
APC	CTNNB1	-0.0111535510148663	-0.441575567467001	0.216856638760083	-0.374802902561036	-0.263422894227636	0.902462275054423	0.430422016452135	-0.111380008333401	0.363442530241299	0.943607971485476	FALSE	FALSE
CTNNB1	APC	0.0141222184005688	-0.203350163998876	0.187268401403014	-0.266536200686718	-0.825359773996895	0.267097024243296	0.217472382399445	0.558823573310177	0.331209923304045	0.455421939725868	FALSE	FALSE
MAP2K1	BRAF	-0.136025861180956	-0.0735348818001309	0.920868378195854	-0.232745859027765	0.284314669273445	0.119630706055999	-0.0624909793808247	-0.51706052830121	0.962877835104064	0.272988145162611	FALSE	FALSE
BRAF	MAP2K1	-0.605890111355528	-0.244645439588622	0.178818963161762	-1.52761663330317	-0.813232510061174	0.158354637768206	-0.361244671766905	-0.714384123241997	0.321220487350633	0.325630648322828	FALSE	FALSE
CDK2	CCNE1	-1.39529834032783	-1.68919236686581	0.430640114643022	-2.21567948676581	-3.24540579278679	0.000995848301169925	0.293894026537984	1.02972630602098	0.597339513859675	0.00902277936041484	FALSE	TRUE
CCNE1	CDK2	-1.22622843468756	-0.561015394766517	0.00961263782750249	-1.80758672214211	-1.29346551375962	0.146957338501047	-0.665213039921039	-0.514121208382495	0.0351781639644772	0.313356545783279	TRUE	FALSE
PEA15	BRAF	-0.310323748504266	0.224732221541954	0.0300186809075084	-0.533423518282158	0.180705711833334	0.00676440603240386	-0.53505597004622	-0.714129230115493	0.0837843913361695	0.0369358043674116	TRUE	TRUE
BRAF	PEA15	-0.473072216096828	0.0791956143009652	0.168087196254726	-0.752728033095207	-0.716996148773242	0.990508003490162	-0.552267830397794	-0.0357318843219647	0.309208532147732	1	FALSE	FALSE
CBFB	RUNX1	-0.472117551890803	-2.20780845572575	7.12105247685755e-05	-0.515230548887066	-2.34497406342996	0.00230645771025736	1.73569090383495	1.82974351454289	0.000830387136284405	0.0165296135901777	TRUE	TRUE
RUNX1	CBFB	-0.103197719610972	-0.172085084286585	0.539298539584697	-0.327630831494676	-0.386357818444076	0.902462275054423	0.0688873646756127	0.0587269869493995	0.692233946332596	0.943607971485476	FALSE	FALSE
SMARCA2	SMARCA4	-1.42528212010868	-1.88662804208739	0.486364763954452	-1.50458083316074	-2.58075373299645	0.187268401403014	0.46134592197871	1.07617289983571	0.64349799538589	0.366545263628089	FALSE	FALSE
SMARCA4	SMARCA2	0.32783445777546	1.26765602519065	0.0209023068445138	0.553845761951538	1.42877507787298	0.0453338990979227	-0.939821567415194	-0.874929315921441	0.0640569581693785	0.139551331451323	TRUE	FALSE
KDM4C	BRD4	0.30138011630057	-0.0891389634419204	0.608593164978054	0.643993700487381	-0.57954938326889	0.0434673815847207	0.39051907974249	1.22354308375627	0.750380103055379	0.139551331451323	FALSE	FALSE
BRD4	KDM4C	0.147121963131724	1.46402213998833	0.0189128262170743	0.249651935284364	1.69773501852995	0.0247267269547409	-1.31690017685661	-1.44808308324558	0.0599632462550559	0.0924564573090312	TRUE	TRUE
KDM6B	BRD4	0.214694928624269	0.660917624781329	0.217692221858495	0.728286294079843	1.28539199936826	0.694446341826699	-0.446222696157061	-0.557105705288421	0.363966582353935	0.82875816682874	FALSE	FALSE
BRD4	KDM6B	-0.0316874190139907	0.14041026871996	0.802670776821674	-0.0838069968957705	0.287402356989116	0.467103392195455	-0.172097687733951	-0.371209353884887	0.884075919601081	0.64988298044585	FALSE	FALSE
